,tag,name,nameColor,icon,trophies,rank,club
0,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1504,1,Fenernazçe 💙💛
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1499,2,Eclipse 🌖
2,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,3,Follow?
3,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1350,4,Eclipse 🌖
4,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1341,5,A Few Good Men
5,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1302,6,Ex0tic-E-Sport
6,#9UCUJ29C,king faheem,0xff1ba5f5,28000046,1259,7,The Revengers
7,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1253,8,<c0>ＬＯＮＥＬＹ★</c>
8,#22C0GV9CR,NoCrow,0xff1ba5f5,28000207,1253,9,HeroWarriorsTR
9,#VYGVV08Q,🍅domates,0xffffffff,28000261,1253,10,
10,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1252,11,KingdomRush
11,#Y02L2GGC,Weeeeisit🍒,0xffff8afb,28000073,1252,12,Showdown💔Kings
12,#RRVVPG2Y,Brosta卡拉,0xff1ba5f5,28000206,1252,13,vMoove
13,#PYGR8CPJ2,〆ϻɪs͢τɪӄ🩸,0xfff9c908,28000018,1252,14,Spain4Win
14,#2UJQQ0YL,TOC,0xfff9c908,28000212,1252,15,anyway🤷🏻‍♂️
15,#P99QGPLU2,Davex,0xffffce89,28000129,1252,16,Brawl King's
16,#90JCYPQU,ZETA | MeOw,0xffffffff,28000074,1252,17,Talents
17,#J8YPGR,Twitch: Tobi,0xffcb5aff,28000000,1252,18,Brawl King's
18,#98P92U0UU,ARX|Numan,0xfff9c908,28000047,1252,19,
19,#U0UQUVGU,Crux✨,0xff1ba5f5,28000300,1252,20,Meow
20,#2CYJ0Q99Q,tostadas,0xffffffff,28000046,1252,21,STMN Esports
21,#2CRRRRYJR,моё,0xfff9c908,28000213,1252,22,✌️✌️✌️
22,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1252,23,
23,#9U0G8JPU2,mir,0xfff9775d,28000232,1252,24,Talents
24,#LLQ8GY8,𝐓𝐡𝐨𝐧𝐲会,0xfff9c908,28000334,1252,25,BC*|Family*
25,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1251,26,help ranks
26,#9VU9R2LY,Terry!,0xffffffff,28000081,1251,27,✌️✌️✌️
27,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1251,28,CONEXIÓN
28,#2J2U29V8V,suraj,0xff4ddba2,28000302,1251,29,Trashmeta
29,#2PJJQV92,V3|Flamen🤍,0xffffce89,28000230,1251,30,CONEXIÓN
30,#PQ09LC889,sinaayy🤍kアナー,0xffff8afb,28000196,1251,31,luv sinayy.🤍🪽
31,#R899R0VR,𝐀κ❥𝐃ᴇᴠɪʟ,0xffffffff,28000349,1251,32,IMMORTAL SOULS
32,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,33,Blue Label
33,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,34,Showdown💔Kings
34,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1250,35,GOOD BYE TAHA
35,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1250,36,HolyGuns
36,#LRLQPU09,Quantic 🌵,0xffa8e132,28000284,1250,37,LA Global
37,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,38,STMN Esports
38,#82JYRV9RQ,BABADOOK,0xffcb5aff,28000112,1250,39,Импрессив
39,#PQPR2GQGJ,MatCha✈️,0xffcb5aff,28000014,1250,40,HK瘋
40,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1250,41,<c0>ＬＯＮＥＬＹ★</c>
41,#22CL00PG0,ZETA | Nowy297,0xffffffff,28000164,1249,42,A Few Good Men
42,#2CL8PUJV9,Evelyn Kawaii♡,0xffff9727,28000110,1249,43,MaraviLindos😺
43,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1249,44,Tribe Turkey
44,#2UGYQURUG,HeGs:)🇹🇷❤️‍🔥,0xffcb5aff,28000018,1249,45,NHY E-SporTS
45,#2UJYG088U,Sir Dunkleton,0xffffffff,28000000,1249,46,RicoLover06 ☔️
46,#89V2LPJR2,Seipan,0xfff9c908,28000006,1249,47,✌️✌️✌️
47,#C282RY8C,Fiwlipp,0xffff8afb,28000014,1249,48,<c5>Just Us</c>
48,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,1249,49,Ex0tic-E-Sport
49,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1249,50,7 Dwarves
50,#209G0UUGY,Ylli🐬,0xffff8afb,28000321,1249,51,Tribe Gaming NA
51,#8P29V29YQ,SEA|Satogori♪M9,0xffff8afb,28000050,1249,52,Cipher Pol
52,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1249,53,<c5>Just Us</c>
53,#9QUURV02U,kuraiiiiiiii,0xfff9c908,28000175,1249,54,Team Alpha
54,#89JUJUVYL,𝓓𝓸𝓻𝓪👻🐉,0xfff9c908,28000020,1249,55,❅︎Merryの家𓍄𓂃𓈒
55,#822G82PLU,进步|MaTRiX🦄,0xffffffff,28000054,1249,56,Ex0tic-E-Sport
56,#2VV02GQ2C,RNT | Prime,0xff1ba5f5,28000044,1249,57,Imperial
57,#GYR0L0JG,Alexis💘,0xff1ba5f5,28000018,1249,58,Tribe Gaming NA
58,#QJ9GV89VV,ばくいけまぐちゃんふぉん7,0xffcb5aff,28000244,1249,59,❅︎Merryの家𓍄𓂃𓈒
59,#2LR22JC9V,𝑻𝒐𝒃𝒊😮‍💨❤️,0xffa2e3fe,28000272,1249,60,BMW M5 F90.COMP
60,#20VVC8LU2,Cryzz❦︎,0xffffffff,28000108,1249,61,
61,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1249,62,No Mercy
62,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1249,63,
63,#Y9R9JPVPU,Xelium A🩸,0xffffffff,28000029,1249,64,
64,#2QCVLV2Q,Psychopant💧,0xffff8afb,28000334,1249,65,7 Dwarves
65,#P98CYLCJ,むぎ,0xffffffff,28000046,1237,66,数え役満🀄️
66,#GRCYVRJG,Edgar🤍æ,0xffff9727,28000176,1237,67,7 Dwarves
67,#8QJ8G08PU,𝓀𝒾𝓁𝓁ℯ𝓇叶🥷,0xffffce89,28000006,1237,68,𝓀𝒾𝓁𝓁ℯ𝓇
68,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1235,69,Quant ESports🐾
69,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1233,70,めろんぱん食堂
70,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1214,71,Vitality
71,#9GVGY29QC,Human核能,0xff1ba5f5,28000272,1212,72,Tribe Turkey
72,#PCJV8PCP2,SEKHON SAN,0xffff8afb,28000224,1207,73,<c0>IMPACT</c>
73,#PP8GYPRGP,WhyTrttt?,0xffffffff,28000212,1206,74,
74,#GCJCRVQ8,tacos ☍,0xffff8afb,28000177,1206,75,NA Friends
75,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1206,76,
76,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1203,77,★the Players★
77,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1203,78,✌️✌️✌️
78,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1202,79,Tribe Turkey
79,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1201,80,Humble Grinders
80,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1201,81,No Mercy
81,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1201,82,LA Instinct
82,#90V9VYJ8C,しょうけい,0xfff05637,28000242,1200,83,なかよし部
83,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1200,84,Deadly Vipers🐍
84,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1200,85,My social media
85,#9JLYRVRL2,Kazzzumin🙊,0xff1ba5f5,28000167,1199,86,<c7>幹嘛偷看我個資</c>
86,#22GGV0PCJ,らん@24時間営業,0xfff9c908,28000212,1199,87,Desires
87,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1199,88,ハナクソタケシ
88,#V8JP99J0,ZKN|Fantas🦊,0xffffce89,28000014,1199,89,Monkey’s Island
89,#9C8Q0GRPG,𝑵𝒊𝒕𝒓𝒂𝒎😤❤,0xffa2e3fe,28000081,1199,90,LA Global
90,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1199,91,ChillOG
91,#29L028GQL,Djahsta,0xffff9727,28000306,1199,92,BC*|Family*
92,#8JU9GVVJJ,Marko Pintarič,0xff1ba5f5,28000140,1199,93,100k
93,#QL9G8JR8C,KY,0xfff9c908,28000267,1199,94,<c5>ぽんみちょった</c>
94,#29V0GUG8,BATATINHA,0xff1ba5f5,28000156,1199,95,
95,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,96,BOBR gaming
96,#20JP809C2,steel🫐,0xff1ba5f5,28000020,1199,97,Humble Grinders
97,#8089LRV2V,Kusarrf好😈,0xfff9c908,28000321,1198,98,Brawl King's
98,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1195,99,Demise 🥀
99,#8R29PY9RJ,Darkez🤍Audrey,0xff1ba5f5,28000207,1191,100,Ghost Team👻☔
100,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1187,101,A Few Good Men
101,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1179,102,VV eSport
102,#P88G9CGYV,KY,0xffff9727,28000267,1175,103,<c5>ぽんみちょった</c>
103,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1169,104,数え役満🀄️
104,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1160,105,IMMORTAL SOULS
105,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1160,106,★the Players★
106,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1160,107,Talents
107,#9GGU9C9Y,RNT | Trashant,0xff1ba5f5,28000033,1160,108,Imperial
108,#VGQ0P2VU,Carry by Georg,0xffffffff,28000123,1158,109,A Few Good Men
109,#9QUQYYRJG,NoLiFer❤️‍🔥,0xffffffff,28000018,1157,110,Invincible
110,#220PGLU02,家|𝑴𝒆𝒎𝒆𝒏ϟ,0xffa8e132,28000163,1153,111,You and me 💜
111,#8GGQC0UP,SHW|Tattier,0xff1ba5f5,28000138,1153,112,MegaPigEnjoyers
112,#9RRQYPY8Q,𝑷𝒐𝒕𝒆𝒎𝒆𝒏☃,0xff1ba5f5,28000339,1152,113,めろんぱん食堂
113,#2CY0CVU80,~Vi♡tal🪐,0xffffffff,28000297,1152,114,Импрессив
114,#90QC892U8,でに。,0xff1ba5f5,28000077,1152,115,Uchronia
115,#QPJ2VG8C8,Dragon 🐊,0xff1ba5f5,28000014,1151,116,Real Ones
116,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1151,117,Quant ESports🐾
117,#L0PQLCLY,기롱❦(卯),0xffffce89,28000247,1149,118,<c1>BBOBBY</c>
118,#2LC9RU2UG,ƇЄƊƦƖƇ🍁,0xffff9727,28000124,1149,119,+12 yaş sew
119,#8Q80P982R,𝐍𝐓|𝐀𝐚𝐫𝐮,0xffffce89,28000303,1149,120,✌️✌️✌️
120,#P0RC0J29Q,𝕶ō𝖘𝖊𝖓 💘,0xffff8afb,28000335,1149,121,
121,#PPG8C2P2,Zimon,0xffffffff,28000184,1149,122,<c5>Just Us</c>
122,#2YPC2LL02,RV|kakawo,0xfff9c908,28000300,1149,123,RV
123,#2GLVPGP2G,phonkeđ🃏,0xffa8e132,28000140,1149,124,Exclusive
124,#8QYC0LLVP,Op|☔ʟᴀмʙo,0xff1ba5f5,28000259,1149,125,SY Infinity™
125,#20CQLYP2C,TBEjason,0xffff8afb,28000336,1149,126,Brawl King's
126,#802GUPYLG,Flechâzo😡,0xffffffff,28000207,1149,127,NHY E-SporTS
127,#CJP08CU0,Uriel,0xffffffff,28000135,1149,128,Brawl King's
128,#PG8JYUJPJ,mob,0xfff9c908,28000022,1149,129,絶対にさせない
129,#Q8U0UCGC,Slaya,0xffffce89,28000272,1149,130,Imperial
130,#8GULV80RP,wortekz,0xfff9c908,28000345,1149,131,Brawl King's
131,#9JQURQ2QJ,❥Ömêrᵍᵒᵈ❦,0xff4ddba2,28000116,1149,132,LA Global
132,#2YC9RU8QJ,GLR | Luca ☬,0xffffffff,28000314,1149,133,TTV Kingsebi26
133,#LYR0Q9C,TRB | Zoulan,0xff1ba5f5,28000138,1149,134,Tribe Gaming NA
134,#J99YU9QY,KuruNero🐬,0xff1ba5f5,28000264,1148,135,Cipher Pol
135,#YYRGQCG2,`Swexîa❦,0xffcb5aff,28000212,1147,136,MasterOfWar
136,#8Y98Q8U,CR | Sitetampo,0xffff8afb,28000014,1143,137,A Few Good Men
137,#288880PCG,憧Leo❦︎🥷,0xffff8afb,28000279,1137,138,RofloSt4ck
138,#J8UR8002,SKC | Prozy,0xffa8e132,28000029,1137,139,Emi's bar 🍻
139,#90YGQVCV,Jonas🤭,0xff1ba5f5,28000167,1137,140,Cuties🤭
140,#RC8GU2G,Ascend-.-,0xffcb5aff,28000014,1136,141,Havoc Echo
141,#LUP0QRC8,L1S|D4NTE❦,0xffff9727,28000129,1136,142,Mini Me’s
142,#2RL8LGV9Q,🐼iBearQu❦︎,0xfff05637,28000352,1131,143,High Quality
143,#GYR92R80,SP | shin🌸,0xffff9727,28000333,1131,144,✌️✌️✌️
144,#CLGU92QJ,Zay Dullan,0xffffffff,28000007,1129,145,
145,#28PP0C82J,YAIⓂMA_Return❕,0xffcb5aff,28000164,1129,146,<c1>BBOBBY</c>
146,#UG2JJ89,Redziin🫀,0xfff05637,28000272,1127,147,Ghost Team👻☔
147,#PJJURPQP0,Zeton🐍❤️🐁,0xffffffff,28000122,1124,148,AFGMela
