,tag,name,nameColor,icon,trophies,rank,club
0,#RG9P29CU,爱丈|Can🖤🔥,0xff1ba5f5,28000003,1644,1,CAN 2000
1,#GY0YV098P,your Xeslliwe♡,0xffffffff,28000132,1512,2,Last Hope ❤️
2,#UY280J89,𝐒𝐞𝐧𝐲❃,0xffffce89,28000020,1506,3,<c5>ぽんみちょった</c>
3,#GGL0QRQYV,SHELLY,0xffffffff,28000091,1504,4,
4,#28UURPLGU,DL|ℬℯ𝓃𝒹𝓎🀄,0xffff8afb,28000349,1502,5,DrachenLegion
5,#R2LR2QLG,NOUN | Mohtep,0xffffffff,28000243,1502,6,A Few Good Men
6,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1502,7,Ex0tic-E-Sport
7,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1502,8,<c0>ＬＯＮＥＬＹ★</c>
8,#8PYRRVP00,Oh My Shelly🥵,0xffffffff,28000139,1499,9,Come Back 🤡
9,#2YYL89J8G,psychc🦈,0xffffffff,28000003,1499,10,🌴|<c3>HM</c>
10,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1499,11,Eclipse 🌖
11,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1499,12,help ranks
12,#9QVYUJQ,JoKi,0xffffffff,28000010,1499,13,
13,#89YR2LV29,Baby 1,0xffffce89,28000003,1494,14,<c7>Berserk</c>
14,#Q8VJURJ9,آنـ❤ـسـ❤ـ,0xffcb5aff,28000335,1494,15,باي باي شيلي؟
15,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1456,16,Eclipse 🌖
16,#CG0CGL,Frozzy⭐,0xffcb5aff,28000118,1449,17,
17,#2VV2RCV0P,⚔️やiͥzzͣaͫᴳᵒᵈ⚔️,0xffcb5aff,28000280,1408,18,Jubas Community
18,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1399,19,NA|Legends❤️‍🩹
19,#GQR20RJPR,Realishあなたは高で🦋,0xff1ba5f5,28000091,1399,20,
20,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1399,21,Tribe Turkey
21,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1399,22,A Few Good Men
22,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1399,23,A Few Good Men
