,tag,name,nameColor,icon,trophies,rank,club
0,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1499,1,Eclipse 🌖
1,#PL2P020J8,Núbis Gear 4,0xffffffff,28000317,1423,2,GamePlay D
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1399,3,Eclipse 🌖
3,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,4,Follow?
4,#YQLY9CYVY,nath,0xff1ba5f5,28000228,1354,5,vMoove
5,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1338,6,UNDERDOG 🇵🇱
6,#920PC9CVC,AlOnE_DaRk,0xffff9727,28000348,1318,7,NHY E-SporTS
7,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1303,8,<c0>ＬＯＮＥＬＹ★</c>
8,#VYGVV08Q,🍅domates,0xffffffff,28000261,1303,9,
9,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1302,10,Ex0tic-E-Sport
10,#22GURLG00,NoRvie 〆,0xffff8afb,28000054,1301,11,
11,#90JCYPQU,ZETA | MeOw,0xffffffff,28000074,1299,12,Talents
12,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1299,13,Tribe Turkey
13,#JQ8L0YYL,RNG | Cauebr,0xfff9c908,28000314,1293,14,Ghost Team👻☔
14,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1272,15,A Few Good Men
15,#8UQ9J2VLY,koki/tatu55,0xffff9727,28000280,1267,16,Banda Nocturna
16,#29L028GQL,Djahsta,0xffff9727,28000306,1263,17,BC*|Family*
17,#U0UQUVGU,Crux✨,0xff1ba5f5,28000300,1260,18,Meow
18,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1260,19,LA Instinct
19,#88V8UUGRG,おにまる〜♬︎おぅおぅ⤴︎︎︎,0xffffce89,28000035,1259,20,たつきすねげ
20,#QR8RU922,Karmaa,0xfff9c908,28000047,1255,21,Brawl King's
21,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1254,22,ハナクソタケシ
22,#22RGVUUCQ,916kny,0xffffffff,28000234,1254,23,
23,#L82U9CVPQ,ᴼᵖɳe̷żu̷ҟσ🥀×᷼×,0xffff9727,28000213,1253,24,🧀MUSSARELOS✨
24,#PPQQJQPQU,愛Astrø 🖤,0xffffffff,28000018,1253,25,🧀MUSSARELOS✨
25,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1253,26,★the Players★
26,#290LJC89U,L1S|Unique❦,0xffa2e3fe,28000035,1253,27,Night Stars
27,#8Q2YR88LJ,QLS|nair397,0xffffffff,28000294,1253,28,Blue Star 💙
28,#PUUYYQPG,★彡ShaKa🌹頹,0xff1ba5f5,28000238,1253,29,🧀MUSSARELOS✨
29,#YP28LYR8G,GHS|Phoenix ❦,0xfff9c908,28000213,1253,30,Ghost eSports
30,#PL92YG8R,Եρ ՐɿՇk☆*❥⃝*,0xff4ddba2,28000341,1253,31,★₮ĦɆ ₱Ⱡ₳¥ɆɌ$2 ★
