,tag,name,nameColor,icon,trophies,rank,club
0,#YUYYLVJ,Perry💜Lukie,0xfff9c908,28000213,1504,1,NA Friends
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1352,2,Fenernazçe 💙💛
2,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1301,3,<c0>ＬＯＮＥＬＹ★</c>
3,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1301,4,Eclipse 🌖
4,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1300,5,Eclipse 🌖
5,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1257,6,Follow?
6,#PV9U8PU8Q,Raul Clash,0xffffffff,28000200,1253,7,🌴<c5>|HM</c>
7,#VYGVV08Q,🍅domates,0xffffffff,28000261,1253,8,
8,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1252,9,GOOD BYE TAHA
9,#2LY99YGP8,HJK┃エネ↯,0xffcb5aff,28000338,1252,10,<c2>エホヤキム</c>
10,#2CRRRRYJR,моё,0xfff9c908,28000213,1252,11,✌️✌️✌️
11,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1252,12,
12,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1251,13,help ranks
13,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1251,14,No Mercy
14,#P99QGPLU2,Davex,0xffffce89,28000129,1251,15,Brawl King's
15,#99VLVGRJG,BootyBaptizer69,0xffffce89,28000000,1251,16,Humble Grinders
16,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,17,Blue Label
17,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1251,18,Vitality
18,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1251,19,Tribe Turkey
19,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1250,20,7 Dwarves
20,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1250,21,Beyond Swift
21,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1250,22,Showdown💔Kings
22,#Y0JLQVQQ,THF|Lark,0xff1ba5f5,28000347,1249,23,Kiwithatgame
23,#9RRQYPY8Q,𝑷𝒐𝒕𝒆𝒎𝒆𝒏☃,0xff1ba5f5,28000339,1249,24,めろんぱん食堂
24,#L8UPY2RCL,rr,0xfff9775d,28000050,1249,25,Z드래곤볼Z
25,#URV8JPY,ormy🎄,0xffffffff,28000176,1249,26,Havoc Echo
26,#UVVULJUQ,AG |Luis Miguel,0xfff05637,28000290,1249,27,LitheX🐢
27,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1249,28,
28,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1224,29,CONEXIÓN
29,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1215,30,★the Players★
30,#2GR9P8Q2L,後天性免疫不全症候群,0xff1ba5f5,28000220,1206,31,🦠🦠🦠
31,#JG08RYCQ,IMP|Devansh,0xffa8e132,28000279,1205,32,<c0>IMPACT</c>
32,#299PPJ22L,[MMA]nagibatori,0xffa2e3fe,28000235,1204,33,Showdown💔Kings
33,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1203,34,No Mercy
34,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1203,35,Demise 🥀
35,#LLV8UGLQ,약물∞𝐂₂₁𝐇₃₀𝐎₂,0xfff9c908,28000050,1203,36,テストが嫌いな人の集い
36,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1203,37,✌️✌️✌️
37,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1201,38,Humble Grinders
38,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1201,39,Humble Grinders
39,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1200,40,LA Instinct
40,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1200,41,Deadly Vipers🐍
41,#UCCV2QVL,𝑀𝑎𝑟𝑟𝑒〆,0xfff9c908,28000334,1200,42,Violence Alpha
42,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1199,43,ハナクソタケシ
43,#Y0VPJ89Q,Ｓㄚ 么 乙 ツ,0xffffce89,28000237,1199,44,Quant ESports🐾
44,#89V2LPJR2,Seipan,0xfff9c908,28000006,1199,45,✌️✌️✌️
45,#JJPY8Q0,LorenzoVGX,0xffa2e3fe,28000293,1199,46,AFGM GENESIS
46,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1199,47,7 Dwarves
47,#J8URCRCJ,vxdka :p,0xffff9727,28000095,1199,48,No Mercy
48,#Y2QGGY29,Born to Live♡,0xffffffff,28000254,1199,49,LaWs Controll
49,#JRYLGVYV,QLS|Glory™️,0xffff9727,28000132,1199,50,Ex0tic-E-Sport
50,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,51,BOBR gaming
51,#82YLCR8LR,언월❦(刀),0xff1ba5f5,28000267,1199,52,<c1>BBOBBY</c>
52,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,1193,53,Beyond Swift
53,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1188,54,A Few Good Men
54,#22PJGVJYJ,히치Luxito🥀,0xffffffff,28000321,1181,55,No Mercy
55,#99LLQYY9,Joeh,0xfff9c908,28000335,1171,56,👋 🤷‍♂️
56,#PQJVG9LG2,REX Kai💫🥀,0xff1ba5f5,28000110,1169,57,REX💫
57,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1165,58,数え役満🀄️
58,#QRU0L0U,🐬ꜱᴏᴋʀᴀᴍ 🜲,0xff1ba5f5,28000201,1161,59,CONEXIÓN
59,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1160,60,My social media
60,#LRYCL0QV,Baby Kyric,0xfff9c908,28000303,1153,61,7 Dwarves
61,#29V0GUG8,BATATINHA,0xff1ba5f5,28000156,1151,62,
62,#220PGLU02,家|𝑴𝒆𝒎𝒆𝒏ϟ,0xffa8e132,28000163,1151,63,You and me 💜
63,#8LC808G,Tuyu,0xff1ba5f5,28000349,1151,64,@Tuyu_Official
64,#8Y80UC98L,Aimervoys:),0xff4ddba2,28000263,1151,65,一撃必殺おにゃんこ
65,#2R8UYJYPC,Twinkle🪄︎︎れお,0xff1ba5f5,28000006,1149,66,fake ring…♡
66,#2Q8L022Y8,🌈Ш|K1lka☔,0xffcb5aff,28000054,1149,67,⭐Star Gang⭐
67,#PJ9882U,Egnity|Ama🥀,0xffcb5aff,28000023,1149,68,ゆかいな仲間たち
68,#2UGV0ULQC,MONSTER,0xfff9c908,28000187,1149,69,Жосткие профи
69,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1147,70,No Mercy
70,#8Q9U9J8LJ,聪|Roy🏝️,0xff1ba5f5,28000286,1146,71,Beyond Lettuce
71,#2LYQ99RQL,Ryu,0xff1ba5f5,28000150,1140,72,たつきすねげ
72,#80UQP9UYR,え𝚟𝚎𝚗𝚘𝚡ツ,0xffffffff,28000139,1132,73,No Mercy
73,#8CRC9QUY9,팀원 버스타는Daye🤱,0xfff9c908,28000124,1129,74,<c1>BBOBBY</c>
