,tag,name,nameColor,icon,trophies,rank,club
0,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1499,1,
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,2,Fenernazçe 💙💛
2,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1401,3,Eclipse 🌖
3,#P0L99Y092,🎆NINJAGAMER🎆,0xffa2e3fe,28000263,1351,4,OverPowers
4,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1302,5,CONEXIÓN
5,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1301,6,Eclipse 🌖
6,#PQJVG9LG2,REX Kai💫🥀,0xff1ba5f5,28000110,1299,7,REX💫
7,#JC20PGQG,愛•τσiʑʑi ↯,0xffff8afb,28000129,1253,8,🧀MUSSARELOS 2✨
8,#VYGVV08Q,🍅domates,0xffffffff,28000261,1253,9,
9,#92ULCUY99,THF|Codes,0xff1ba5f5,28000201,1252,10,Kiwithatgame
10,#Y2QGGY29,Born to Live♡,0xffffffff,28000254,1252,11,LaWs Controll
11,#8JQRQ80R8,RZ | KIEMS,0xffff9727,28000135,1252,12,FUR TEAM
12,#9QCJPL20,Golden Kawaii🌕,0xffffce89,28000045,1252,13,Eclipse 🌖
13,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1252,14,Vitality
14,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1252,15,<c0>ＬＯＮＥＬＹ★</c>
15,#8UQ9GQJJ,↝𝑉𝑖𝑝𝑒𝑟⍨꙳,0xff4ddba2,28000272,1252,16,めろんぱん食堂
16,#280RJ92JC,ExP |BloocK,0xfff9c908,28000242,1252,17,CONEXIÓN
17,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1251,18,KingdomRush
18,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1251,19,help ranks
19,#Y29V28JYJ,ナイフを持った天使,0xfff9c908,28000014,1251,20,Brawl King's
20,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1251,21,Talents
21,#88QCRPLJV,Togi☁️,0xffff8afb,28000303,1251,22,7 Dwarves
22,#2LY99YGP8,HJK┃エネ↯,0xffcb5aff,28000338,1251,23,<c2>エホヤキム</c>
