,tag,name,nameColor,icon,trophies,rank,club
0,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1502,1,A Few Good Men
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1499,2,Eclipse 🌖
2,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1422,3,
3,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1350,4,Ex0tic-E-Sport
4,#PL2P020J8,Núbis Gear 4,0xffffffff,28000317,1349,5,GamePlay D
5,#28QV8YJRP,༄Zeή͢͢͢yc♛,0xffff8afb,28000321,1349,6,AFGMela
6,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1349,7,A Few Good Men
7,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1325,8,Follow?
8,#2R8UYJYPC,Twinkle🪄︎︎れお,0xff1ba5f5,28000006,1315,9,fake ring…♡
9,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1305,10,<c0>ＬＯＮＥＬＹ★</c>
10,#2GYY989GU,あ|Nouggetシ🦋,0xffa8e132,28000075,1303,11,VV eSport
11,#QGC9JGLVY,〆𝓝𝓾𝓫𝓪𝔁🎈,0xffff9727,28000343,1303,12,TikTok : nubaxx
12,#VYGVV08Q,🍅domates,0xffffffff,28000261,1303,13,
13,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1303,14,Tribe Turkey
14,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1302,15,Eclipse 🌖
15,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1302,16,Tribe Turkey
16,#P9YCRRRVL,Zelephh,0xff1ba5f5,28000123,1299,17,Brawl Kings
17,#URG2PY00,Zay,0xffffffff,28000333,1299,18,Beyond Alpha
18,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1261,19,GOOD BYE TAHA
19,#9QC02VJV8,nyx1k?🤍ニックス,0xffffffff,28000137,1254,20,Lost Hell
20,#2JUCGCR9L,ÜMÂ.유마❦,0xff1ba5f5,28000125,1254,21,Relax❦
21,#J8LYYQ0J,Gamer Egg,0xfff05637,28000023,1253,22,II Omega
22,#8VQ08LVLU,❤️🌑SHIVAM🌕💛,0xffa8e132,28000003,1253,23,DEMONS PARADISE
23,#LVQLJLPRU,GreenDAY🦠💚,0xffa8e132,28000323,1253,24,ずっと昼間でいいのに
24,#2ULUP8VG9,ぜ|КеКzzz🌖,0xffff9727,28000003,1253,25,ᴅᴀɪʟʏ
25,#8JLRVYRU,- NOZÉ -,0xffa8e132,28000194,1253,26,★the Players★
26,#889VRC0QJ,🦅|Matheo>.<,0xffffffff,28000197,1253,27,
27,#Q2JVVRJVJ,tengo novia🥰,0xffffffff,28000075,1253,28,
28,#PVL82C90C,Rōninz|Ghost👻,0xffffffff,28000000,1253,29,Rōninz Esports
29,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1253,30,<c0>ＬＯＮＥＬＹ★</c>
30,#92C08YG00,愛~Not HumanZ❖,0xffff9727,28000033,1252,31,HeadShoterZ💣
31,#2UJQQ0YL,TOC,0xfff9c908,28000212,1252,32,anyway🤷🏻‍♂️
32,#QUUGLJGQC,ᴡɪɴᴄʜᴇsᴛᴇʀ♡,0xffcb5aff,28000014,1252,33,Lost Hell
33,#JJ09PC0P,AoC|vegeta🌷,0xffa8e132,28000115,1252,34,octos
34,#GLUPGRVUP,Kotuk🐱,0xffff8afb,28000299,1252,35,Masterpiece❤‍🩹
35,#PRQGVULVQ,iAlmaaaazik🥺,0xffffffff,28000135,1252,36,KingdomRush
36,#JPGRR9UV,Bowserr🥷被,0xff1ba5f5,28000206,1252,37,Brawl King's
37,#LUJYJUR0L,〇〇マン2号,0xffa2e3fe,28000241,1252,38,Excellent🏆
38,#P99QGPLU2,Davex,0xffffce89,28000129,1252,39,Brawl King's
39,#V2Q080UU,Valembeau💜,0xffcb5aff,28000035,1252,40,A Few Clown Men
40,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1252,41,Vitality
41,#980GJCYVQ,⭐GG|AMJAD☔☄,0xff4ddba2,28000341,1251,42,OG Mute
42,#2CQ9008JV,けちまる〜♬おぅおぅ⤴︎,0xffffce89,28000035,1251,43,Uchronia
43,#LRLQPU09,Quantic 🌵,0xffa8e132,28000284,1251,44,LA Global
44,#Y88QYRPRC,₮₱ ¥¥₳₦ ₲₳ɃɌƗɆⱠ,0xfff05637,28000334,1251,45,Kings United II
45,#8R9VJLGLP,Blâex♛,0xffffffff,28000014,1251,46,YT: Murat Onat
46,#2YYL89J8G,psychc🦈,0xffffffff,28000003,1251,47,🌴|<c3>HM</c>
47,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1251,48,DragonArmy
48,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1251,49,help ranks
49,#PRUCG288Y,•☆Fynn冬,0xffff8afb,28000317,1251,50,BC*|Family*
50,#2Q2JQURJR,あSerhâtt❤️‍🔥,0xff1ba5f5,28000297,1251,51,NHY E-SporTS
51,#JP9P0LJG,Byrox❤️‍🩹Xorox,0xff1ba5f5,28000302,1251,52,ᴅᴀɪʟʏ
52,#YRUP8VJ,あ|ADITYA 🥀,0xffff9727,28000151,1250,53,PAK CHAMPS
53,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1250,54,★the Players★
54,#RY0GVQ2U,Daisy❦ⁿᵃᵐᵉ,0xff1ba5f5,28000347,1250,55,Illusion Gaming
55,#Y890CGQGP,м͢єͥϲͣнͫαˢᵘʳᵍᵉ,0xffff9727,28000090,1250,56,PUNCH BR
56,#GP2Q0L92Y,다이너 저격수,0xffffce89,28000198,1250,57,ブリリアントぶた劇場
57,#P0L9Y2P8,在地上爬的小小蟲011,0xffffffff,28000000,1250,58,<c7>幹嘛偷看我個資</c>
58,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1250,59,OG Mute
59,#Y9R9JPVPU,Xelium A🩸,0xffffffff,28000029,1250,60,
60,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1250,61,OG Mute
61,#9GJGLCVYG,TRX|神|PHANTOM,0xfff05637,28000000,1250,62,<c0>RETIRED</c>
62,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,63,STMN Esports
63,#PYJLL2QQL,たか/みく推し🎧❄️,0xff1ba5f5,28000334,1250,64,めろんぱん食堂
64,#GUUGV89GG,𝐊𝐒|𝐬𝐚𝐲𝐥𝐢,0xffcb5aff,28000156,1250,65,KS FRENCH
65,#82GC0CU8,XP|beko🦊,0xffff9727,28000223,1250,66,
66,#PRC8P8989,↯︎Vertex | 地和↯︎,0xffffffff,28000071,1250,67,キングダム乱
67,#JRYLGVYV,QLS|Glory™️,0xffff9727,28000132,1250,68,Ex0tic-E-Sport
68,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1250,69,LA Instinct
69,#22CL00PG0,ZETA | Nowy297,0xffffffff,28000164,1249,70,A Few Good Men
70,#YQUQUUG,Ferlol,0xff1ba5f5,28000294,1249,71,minuta:3
71,#22LQGCYUP,Pumm,0xffffffff,28000118,1249,72,Quinx Academy
72,#PJ9JCYLCQ,猿|Epic🐒,0xff1ba5f5,28000069,1249,73,Ex0tic-E-Sport
73,#222QGJPLU,𝙴𝙶𝙾|𝙼𝚛𝚝🫀,0xffffffff,28000230,1249,74,
74,#8J98RQJY0,HowToLive🕊️,0xffffffff,28000341,1249,75,Lord dragon
75,#8JQGCVRG2,"m.ghost👻/""♪",0xfff05637,28000151,1249,76,
