,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1401,1,Eclipse 🌖
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1400,2,Fenernazçe 💙💛
2,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1305,3,<c0>ＬＯＮＥＬＹ★</c>
3,#VYGVV08Q,🍅domates,0xffffffff,28000261,1303,4,
4,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1302,5,Eclipse 🌖
5,#LRLQPU09,Quantic 🌵,0xffa8e132,28000284,1301,6,LA Global
6,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1301,7,<c0>ＬＯＮＥＬＹ★</c>
7,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1299,8,Follow?
8,#Y8082RLP,ł̇₵Ɇ ₥ØⱤ₮ł₴,0xfff9c908,28000262,1259,9,
9,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1253,10,
10,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1252,11,Ex0tic-E-Sport
11,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,12,Showdown💔Kings
12,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1251,13,ᴅᴀɪʟʏ
13,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1251,14,Tribe Turkey
14,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1249,15,★the Players★
15,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1249,16,TyM`eSports
16,#VC9P2YR,愛Aʟᴘʜᴀᴼᵖ❤,0xffff9727,28000272,1249,17,
17,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1249,18,Quant ESports🐾
18,#V9QPG880,陰|Adriano ☪️,0xfff05637,28000065,1249,19,FWs Club 🌮
19,#PLCPU928R,ØFFŁÎŃÈ,0xff1ba5f5,28000019,1249,20,.....
20,#99PRPGQYC,ᴳᵒᵈD̷y̷n̷a̷🎋,0xffff9727,28000346,1249,21,🗡️| Impossible
21,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1249,22,Tribe Turkey
22,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1249,23,Beyond Swift
23,#GU898VQ,Levi,0xffcb5aff,28000014,1249,24,Brawl King's
24,#90LPVYVUP,Yusuf♛,0xffffffff,28000112,1249,25,SALDİM
25,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1242,26,help ranks
26,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1212,27,Talents
27,#Q2JVVRJVJ,tengo novia🥰,0xffffffff,28000075,1208,28,
28,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1204,29,HolyGuns
29,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1204,30,OG Mute
30,#P99QGPLU2,Davex,0xffffce89,28000129,1203,31,Brawl King's
31,#2PJJQV92,V3|Flamen🤍,0xffffce89,28000230,1203,32,CONEXIÓN
32,#8ULJJPYG2,Âtahan🖤Ubéyd,0xffffffff,28000333,1203,33,
33,#9U0G8JPU2,mir,0xfff9775d,28000232,1203,34,Talents
34,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1202,35,CONEXIÓN
35,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1202,36,Deadly Vipers🐍
36,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1201,37,My social media
37,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1200,38,
38,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1200,39,LA Instinct
39,#YY9PPLQL9,Yume𓅦,0xff4ddba2,28000149,1199,40,Cipher Pol
40,#20P2GP99,Ducky🐝,0xffa8e132,28000136,1199,41,NA Friends
41,#29V0GUG8,BATATINHA,0xff1ba5f5,28000156,1199,42,
42,#8PJ8Y8Y,uncivil :p,0xff1ba5f5,28000322,1199,43,Elite Saiyan🔱
43,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,44,BOBR gaming
44,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1199,45,A Few Good Men
45,#29L028GQL,Djahsta,0xffff9727,28000306,1185,46,BC*|Family*
46,#2GJRLJ2LJ,爱|Cђrisτian🀄,0xffff8afb,28000047,1179,47,Dragon Chileno
47,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1175,48,ChillOG
48,#8P2G9PUJC,I'm right here,0xfff05637,28000095,1175,49,
49,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1171,50,Blue Label
50,#2YYL89J8G,psychc🦈,0xffffffff,28000003,1154,51,🌴|<c3>HM</c>
51,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1153,52,IMMORTAL SOULS
52,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1153,53,No Mercy
53,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1152,54,Vitality
54,#8Y2Y0GYYG,与田祐希𓃵,0xfff9c908,28000240,1149,55,Cipher Pol
55,#8YPU2Q9CP,valott🃏,0xfff9c908,28000023,1149,56,Venus
56,#YPP02G9L,Mxrf 🐝,0xff1ba5f5,28000291,1149,57,Beyond Washed
57,#2GLVR9RRQ,who asked? hoyl,0xfff9c908,28000014,1149,58,HolyPower
58,#9QCJPL20,Golden Kawaii🌕,0xffffce89,28000045,1149,59,Eclipse 🌖
59,#GLUPGRVUP,Kotuk🐱,0xffff8afb,28000299,1147,60,Masterpiece❤‍🩹
60,#2Y2Y99GQR,VizeZ,0xffffffff,28000230,1145,61,Ex0tic-E-Sport
61,#9VU9R2LY,Terry!,0xffffffff,28000081,1144,62,✌️✌️✌️
62,#GV9GRLJJ,Counter,0xffff9727,28000265,1144,63,NA Friends
63,#J0L2Q0U0,Jayden🩵,0xff4ddba2,28000256,1137,64,辛蒂的小跟班們❤️
64,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1136,65,No Mercy
65,#GVQUYG90,Shattered ⟡,0xffffffff,28000000,1132,66,7 Dwarves
66,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1125,67,Humble Grinders
67,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,1123,68,Ex0tic-E-Sport
68,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1120,69,7 Dwarves
69,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1119,70,Demise 🥀
70,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1116,71,No Mercy
71,#2JYGUYUG,AAMIR LORD,0xffffffff,28000207,1116,72,CHEESEFOREVAR
72,#VGLY2G88,はRyuji🍢,0xffffce89,28000247,1112,73,
73,#8LYQPLP29,🖤MKZ🖤,0xffffffff,28000032,1111,74,ᴅᴀɪʟʏ
74,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1109,75,Humble Grinders
75,#9QJGLJJ8,YoungMartinez,0xfff9c908,28000004,1108,76,Ghost Team👻☔
76,#8LC808G,Tuyu,0xff1ba5f5,28000349,1108,77,@Tuyu_Official
77,#J8UR8002,SKC | Prozy,0xffa8e132,28000029,1107,78,Emi's bar 🍻
78,#J99YU9QY,KuruNero🐬,0xff1ba5f5,28000264,1106,79,Cipher Pol
79,#9VP2R0P9,ToxicZan,0xff1ba5f5,28000352,1104,80,Real Ones
80,#209G0UUGY,Ylli🐬,0xffff8afb,28000321,1104,81,Tribe Gaming NA
