,tag,name,nameColor,icon,trophies,rank,club
0,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1499,1,KingdomRush
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1479,2,Fenernazçe 💙💛
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1466,3,Eclipse 🌖
3,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1453,4,Eclipse 🌖
4,#9JQYQL2Q2,𝐳Celi𝐚𝐱𝐱🤍,0xffcb5aff,28000150,1370,5,EternityCry ✨
5,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1357,6,<c0>ＬＯＮＥＬＹ★</c>
6,#YV8U29VLY,Oh My Bibi🥵,0xffcb5aff,28000129,1317,7,❤️‍🩹
7,#QLG89YRCC,SZG|Fad17🍁,0xffffffff,28000014,1303,8,Ogorod
8,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1302,9,Follow?
9,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1301,10,<c0>ＬＯＮＥＬＹ★</c>
10,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1300,11,Ex0tic-E-Sport
11,#VYGVV08Q,🍅domates,0xffffffff,28000261,1300,12,
12,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1300,13,help ranks
13,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,1277,14,Ex0tic-E-Sport
14,#GRJY0J0R,SKC | Lukitas,0xfff9c908,28000244,1255,15,Emi's bar 🍻
15,#8J8G9CJVJ,CᴀʟʟMᴇ𝓩artis🦍,0xffffffff,28000150,1254,16,RK Esport
16,#92C08YG00,愛~Not HumanZ❖,0xffff9727,28000033,1253,17,HeadShoterZ💣
17,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1253,18,NA|Legends❤️‍🩹
18,#2GYY989GU,あ|Nouggetシ🦋,0xffa8e132,28000075,1253,19,VV eSport
19,#8RU8G89C0,Hyra,0xffcb5aff,28000021,1253,20,
20,#PQ09LC889,sinaayy🤍kアナー,0xffff8afb,28000196,1253,21,luv sinayy.🤍🪽
21,#Y9R9JPVPU,Xelium A🩸,0xffffffff,28000029,1253,22,
22,#290LJC89U,L1S|Unique❦,0xffa2e3fe,28000035,1253,23,Night Stars
23,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1253,24,Tribe Turkey
24,#PY9982U8P,➪Nil⁰² 🍓,0xfff9775d,28000200,1253,25,TT: niiil_06
25,#28LYUL8JP,𝙲𝚘𝚍𝚎ˢˣ❥𝙹en,0xffcb5aff,28000337,1253,26,🧀MUSSARELOS✨
26,#Q2JVVRJVJ,tengo novia🥰,0xffffffff,28000075,1253,27,
27,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1253,28,<c0>ＬＯＮＥＬＹ★</c>
28,#QG990QQJ,MyS|Donatik,0xfff05637,28000322,1253,29,LA Global
29,#8VQ08LVLU,❤️🌑SHIVAM🌕💛,0xffa8e132,28000003,1252,30,DEMONS PARADISE
30,#8GPG9V0GU,Sunex玄,0xffffffff,28000125,1252,31,TT: niiil_06
31,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1252,32,
32,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1252,33,OG Mute
33,#22ULYJJ8Q,𝑉𝑖𝑜𝑙𝑒𝑡❦︎,0xffcb5aff,28000226,1252,34,
34,#2CY0CVU80,~Vi♡tal🪐,0xffffffff,28000297,1252,35,Импрессив
35,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1252,36,✌️✌️✌️
36,#PJ02GQJ,$HIVAM I$ B+,0xffa8e132,28000151,1252,37,TT: niiil_06
37,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1252,38,Tribe Turkey
38,#2UGYQURUG,HeGs:)🇹🇷❤️‍🔥,0xffcb5aff,28000018,1251,39,NHY E-SporTS
39,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1251,40,VV eSport
40,#9L9P2PLY0,佐切「静かに、、激しく、、」,0xffffffff,28000303,1251,41,🌺🥀🌸🌼🌷
41,#CJUL0RYJ,BLZ|ᵒᵖKozmo ♛,0xff1ba5f5,28000129,1251,42,Tribe Turkey
42,#8G0P89RL9,Dragos🐙,0xffcb5aff,28000138,1251,43,Mizmiripsis🛐
43,#9J20Q092L,TxC|CraZy,0xff4ddba2,28000140,1251,44,Turkish Shadow
44,#2ULUP8VG9,ぜ|КеКzzz🌖,0xffff9727,28000003,1251,45,ᴅᴀɪʟʏ
45,#YYJUVRG8Q,❦︎TIGER❥︎SA,0xffa8e132,28000096,1251,46,Italy❤️‍🩹DUO👿
46,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1251,47,Quant ESports🐾
47,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1251,48,
48,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1251,49,GOOD BYE TAHA
49,#889VRC0QJ,🦅|Matheo>.<,0xffffffff,28000197,1251,50,
50,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1251,51,ᴅᴀɪʟʏ
51,#G0LYU9JY,YNS|CAmPErr🌃,0xffa8e132,28000262,1251,52,<c0>PWNZ</c>
52,#PP2JLG88,TyM|Cicimo🦁,0xffffffff,28000029,1251,53,TyM`eSports II
53,#2LJ9QCCL,tedd💞💞,0xffffffff,28000112,1251,54,
54,#Y2CJ0GYRY,wwaasskk1dd👅,0xff4ddba2,28000021,1251,55,
55,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1251,56,Vitality
56,#9CPP2CJQ9,WhyLansik?,0xffff8afb,28000321,1251,57,Tribe Turkey
57,#V2CLUQY2,PrJ|HeyBrother,0xffcb5aff,28000305,1251,58,Ultra Showdown
58,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1250,59,7 Dwarves
59,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1250,60,めろんぱん食堂
60,#GCVPVRQY,MyS|Goman,0xff4ddba2,28000137,1250,61,Tribe Turkey
61,#JGULRL2Y,RuRu,0xffff9727,28000139,1250,62,Mumei Brawl YT
62,#98QJC2YPU,LUCİ😈,0xffcb5aff,28000194,1250,63,Tribe Turkey
63,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1250,64,Showdown💔Kings
64,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1250,65,DragonArmy
65,#LUJYJUR0L,〇〇マン2号,0xffa2e3fe,28000241,1250,66,Excellent🏆
66,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1250,67,OG Mute
67,#P99QGPLU2,Davex,0xffffce89,28000129,1250,68,Brawl King's
68,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,69,STMN Esports
69,#8VJ8GJR2,Nova💔Winkiii,0xffa8e132,28000148,1250,70,Quant ESports🐾
70,#JP9P0LJG,Byrox❤️‍🩹Xorox,0xff1ba5f5,28000302,1250,71,ᴅᴀɪʟʏ
71,#82GC0CU8,XP|beko🦊,0xffff9727,28000223,1250,72,
72,#JRYLGVYV,QLS|Glory™️,0xffff9727,28000132,1250,73,Ex0tic-E-Sport
73,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1249,74,IMMORTAL SOULS
74,#89CGJQ08G,Lônély🖤ClârX,0xffcb5aff,28000003,1249,75,LA Global
75,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1249,76,Humble Grinders
76,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1249,77,★the Players★
