,tag,name,nameColor,icon,trophies,rank,club
0,#G9Q0GPGYQ,ダ|Red ²🌹,0xfff05637,28000261,1401,1,BruceTheKing
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1401,2,Fenernazçe 💙💛
2,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1302,3,Eclipse 🌖
3,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1301,4,Eclipse 🌖
4,#2QQPYLJ02,↯︎Vertex｜RR↯︎,0xffffffff,28000113,1299,5,𝐂𝐡𝐞𝐞𝐫 𝐮𝐩
5,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1253,6,
6,#8JV0CQLGU,𝙅𝙭𝙞𝙞𝙧☁️,0xff1ba5f5,28000013,1252,7,7 Dwarves
7,#29LVRQV2L,ENVY|LelOP ❦,0xff1ba5f5,28000200,1252,8,Brawl Kings's
8,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1252,9,LA Instinct
9,#URYL2JU2,ᶜᵗ|♡︎20/04♡︎シ︎,0xffa8e132,28000179,1252,10,Nҽɯ Sƚαɠҽ🎖️
10,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1252,11,Vitality
11,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1252,12,Tribe Turkey
12,#RUGUJPR8,☠ĆØΜβΔŦ€ŇŦ€☠,0xff4ddba2,28000253,1251,13,★the Players★
13,#99VLVGRJG,BootyBaptizer69,0xffffce89,28000000,1251,14,Humble Grinders
14,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1251,15,
15,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,16,Showdown💔Kings
16,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1250,17,DragonArmy
17,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1250,18,help ranks
18,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1250,19,7 Dwarves
19,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1250,20,ᴅᴀɪʟʏ
20,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1250,21,CONEXIÓN
21,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1250,22,Quant ESports🐾
22,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1250,23,<c0>ＬＯＮＥＬＹ★</c>
23,#L82U9CVPQ,ᴼᵖɳe̷żu̷ҟσ🥀×᷼×,0xffff9727,28000213,1249,24,🧀MUSSARELOS✨
24,#82GPP9LQ,BC*| Tobi🍉,0xff1ba5f5,28000303,1249,25,BC*|Family*
25,#YLV8CL0R,Astaaaa❤️‍🔥😈,0xff4ddba2,28000347,1249,26,Tribe Turkey
26,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1249,27,★the Players★
27,#8CVCJVVV9,Եթ Շαɱเℓα ☆*❥⃝*,0xffff9727,28000302,1249,28,★the Players★
28,#L8UPY2RCL,rr,0xfff9775d,28000050,1249,29,Z드래곤볼Z
29,#LUVC92G8J,@SimpleOri,0xffffffff,28000089,1249,30,
30,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1249,31,Blue Label
31,#PLJR9VLR8,Arnast,0xffff8afb,28000164,1249,32,
32,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1249,33,
33,#88L2RGG9U,v3nus🎄,0xffffffff,28000176,1249,34,Havoc Echo
34,#8RVLRVYYP,yeiyei,0xfff9c908,28000281,1249,35,Ex0tic-E-Sport
35,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1243,36,★the Players★
36,#P99QGPLU2,Davex,0xffffce89,28000129,1239,37,Brawl King's
37,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1206,38,No Mercy
38,#2CJVCG8V,驰|Veloxity ⚡️,0xff1ba5f5,28000018,1204,39,Arctic Blitz
39,#2P088J29C,Matt,0xffff8afb,28000333,1203,40,<c5>Just Us</c>
40,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1202,41,No Mercy
41,#P2G8CUUPU,August🥷,0xffffffff,28000241,1202,42,BC*|Family*
42,#9QQV92C29,ﾒ𝟽🐝,0xfff05637,28000259,1201,43,<c5>Dogs</c>
43,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1201,44,Humble Grinders
44,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1201,45,Demise 🥀
45,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1201,46,7 Dwarves
46,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1201,47,Follow?
47,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1200,48,Humble Grinders
48,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1200,49,Deadly Vipers🐍
49,#2CRRRRYJR,моё,0xfff9c908,28000213,1200,50,✌️✌️✌️
50,#VYGVV08Q,🍅domates,0xffffffff,28000261,1200,51,
51,#CQCVP0J,нагибатор 2000,0xff4ddba2,28000140,1199,52,BulgarianR
52,#82Y2800L0,ᶻChuka🤍ᴿ ͛,0xffffffff,28000349,1199,53,
53,#809ULJU2,KLIMtm,0xffffffff,28000151,1199,54,take a break.
54,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1199,55,No Mercy
55,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1199,56,ChillOG
56,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1199,57,
57,#J8YPGR,Twitch: Tobi,0xffcb5aff,28000000,1199,58,Brawl King's
58,#29V0GUG8,BATATINHA,0xff1ba5f5,28000156,1199,59,
59,#2QPJQ8QRQ,bagi,0xff1ba5f5,28000335,1199,60,Brawl King's
60,#URV8JPY,ormy🎄,0xffffffff,28000176,1199,61,Havoc Echo
61,#8UJC08UYL,ᴼᵖᵭҟe̷🥀×᷼×,0xffcb5aff,28000330,1199,62,🧀MUSSARELOS✨
62,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,63,BOBR gaming
63,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1199,64,A Few Good Men
64,#P2RVQ90L9,🖤ŠįŁ3Ñt🥀,0xffcb5aff,28000183,1199,65,Invincible
65,#GC982J9L,悪𝕸𝖆𝖙𝖍❤️‍🔥,0xfff05637,28000090,1199,66,
66,#2Q9C922GY,WizZ💘,0xff1ba5f5,28000229,1199,67,Brawl King's
67,#YQ9JVYV,ToniMxf.💘,0xffcb5aff,28000272,1194,68,ChillOG
68,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1187,69,My social media
69,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1184,70,UNDERDOG 🇵🇱
70,#PUUYYQPG,★彡ShaKa🌹頹,0xff1ba5f5,28000238,1173,71,🧀MUSSARELOS✨
71,#2QCVLV2Q,Psychopant💧,0xffff8afb,28000334,1173,72,7 Dwarves
72,#2UVUU28L8,Dede 最高の,0xffffffff,28000156,1169,73,Brawl King's
73,#JG08RYCQ,IMP|Devansh,0xffa8e132,28000279,1167,74,<c0>IMPACT</c>
74,#8GUPLYY,FG | Jene,0xffff8afb,28000135,1164,75,clover
75,#8UUUUL2VQ,♡アメ♡,0xffffffff,28000207,1162,76,Chapulines 🦗
76,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1162,77,Talents
77,#20JRYL02,❛ 화난 SANG☯︎,0xffffce89,28000250,1160,78,washed🚿
78,#8UQJPQVY2,CN |🐳Yagami☆,0xff1ba5f5,28000225,1159,79,
79,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1157,80,Ghost Team👻☔
80,#RRVVPG2Y,Brosta卡拉,0xff1ba5f5,28000206,1156,81,vMoove
81,#J8UR8002,SKC | Prozy,0xffa8e132,28000029,1153,82,Emi's bar 🍻
82,#29L028GQL,Djahsta,0xffff9727,28000306,1153,83,BC*|Family*
