,tag,name,nameColor,icon,trophies,rank,club
0,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,1,Fenernazçe 💙💛
1,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1302,2,Eclipse 🌖
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1300,3,Eclipse 🌖
3,#VYGVV08Q,🍅domates,0xffffffff,28000261,1272,4,
4,#LLQ8GY8,𝐓𝐡𝐨𝐧𝐲会,0xfff9c908,28000334,1270,5,BC*|Family*
5,#PV9U8PU8Q,Raul Clash,0xffffffff,28000200,1253,6,🌴<c5>|HM</c>
6,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1252,7,Demise 🥀
7,#82UCLY9C8,Kronos🇧🇷,0xffff8afb,28000029,1252,8,Brawl King's
8,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1252,9,Tribe Turkey
9,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1251,10,IMMORTAL SOULS
10,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1251,11,GOOD BYE TAHA
11,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1251,12,Tribe Turkey
12,#Y29V28JYJ,ナイフを持った天使,0xfff9c908,28000014,1251,13,Brawl King's
13,#2LC9RU2UG,ƇЄƊƦƖƇ🍁,0xffff9727,28000124,1251,14,+12 yaş sew
14,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1251,15,VV eSport
15,#CJP08CU0,Uriel,0xffffffff,28000135,1251,16,Brawl King's
16,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1251,17,
17,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1251,18,<c0>ＬＯＮＥＬＹ★</c>
18,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1251,19,OG Mute
19,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,20,Showdown💔Kings
20,#RUGUJPR8,☠ĆØΜβΔŦ€ŇŦ€☠,0xff4ddba2,28000253,1250,21,★the Players★
21,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1250,22,help ranks
22,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1250,23,★the Players★
23,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1250,24,ᴅᴀɪʟʏ
24,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1250,25,OG Mute
25,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1250,26,CONEXIÓN
26,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1250,27,
27,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1250,28,Follow?
28,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1250,29,<c0>ＬＯＮＥＬＹ★</c>
29,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1249,30,Humble Grinders
30,#YQ9JVYV,ToniMxf.💘,0xffcb5aff,28000272,1249,31,ChillOG
31,#8QJ0YUV8Q,千 | Kai,0xffa8e132,28000018,1249,32,Beyond Swift
32,#GRVL8ULV,陰|SuperLab ☯︎,0xff1ba5f5,28000141,1249,33,7 Dwarves
33,#2UJ08RQJG,꧁Rìøt | Znmr꧂,0xfff9c908,28000210,1249,34,
34,#22C0GV9CR,NoCrow,0xff1ba5f5,28000207,1249,35,HeroWarriorsTR
35,#JGCCGY80,prostislavv,0xffff9727,28000042,1249,36,BOBR gaming
36,#QRU0L0U,🐬ꜱᴏᴋʀᴀᴍ 🜲,0xff1ba5f5,28000201,1249,37,CONEXIÓN
37,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1249,38,A Few Good Men
38,#99LLQYY9,Joeh,0xfff9c908,28000335,1249,39,👋 🤷‍♂️
39,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1239,40,
40,#GU220LGG,GHS|PatricK👻,0xffff8afb,28000211,1239,41,Ghost eSports
41,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1235,42,Quant ESports🐾
42,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1229,43,7 Dwarves
43,#GRC9RRJR,TQ | Javi,0xfff9c908,28000137,1222,44,A Few Good Men
44,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1215,45,A Few Good Men
45,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1206,46,LA Instinct
46,#R2R2JV9C,S4W|Aste❤️‍🔥,0xffff8afb,28000214,1203,47,Spain4Win
47,#V2Q080UU,Valembeau💜,0xffcb5aff,28000035,1203,48,A Few Clown Men
48,#2PJJQV92,V3|Flamen🤍,0xffffce89,28000230,1203,49,CONEXIÓN
49,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1203,50,Deadly Vipers🐍
50,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1202,51,★the Players★
51,#8Y98Q8U,CR | Sitetampo,0xffff8afb,28000014,1202,52,A Few Good Men
52,#8CVCJVVV9,Եթ Շαɱเℓα ☆*❥⃝*,0xffff9727,28000302,1202,53,★the Players★
53,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1201,54,ハナクソタケシ
54,#2CRRRRYJR,моё,0xfff9c908,28000213,1201,55,✌️✌️✌️
55,#VGQ0P2VU,Carry by Georg,0xffffffff,28000123,1201,56,A Few Good Men
56,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1200,57,Talents
57,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1200,58,ChillOG
58,#29L028GQL,Djahsta,0xffff9727,28000306,1200,59,BC*|Family*
59,#J8URCRCJ,vxdka :p,0xffff9727,28000095,1199,60,No Mercy
60,#2YPC2LL02,RV|kakawo,0xfff9c908,28000300,1199,61,RV
61,#PLLRJC2V,Wesley534,0xff1ba5f5,28000210,1199,62,Ghost Team👻☔
62,#P0Y9VPGLY,Sky ˡᵒᵛᵉʸᵒᵘ,0xffffffff,28000003,1199,63,
63,#8UQJPQVY2,CN |🐳Yagami☆,0xff1ba5f5,28000225,1199,64,
64,#29V0GUG8,BATATINHA,0xff1ba5f5,28000156,1199,65,
65,#2CY898QJ0,єηισ ƒαιχα⁷ 🥋,0xffcb5aff,28000224,1199,66,Candangos do BR
66,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1199,67,My social media
67,#UYUUQQ8Q,대왕❦(光),0xffcb5aff,28000115,1199,68,<c1>BBOBBY</c>
68,#JGUYRYQ,Nathan🩵,0xffff8afb,28000041,1199,69,NA Friends
69,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1172,70,
70,#9VU9R2LY,Terry!,0xffffffff,28000081,1166,71,✌️✌️✌️
71,#YUYYLVJ,Perry💜Lukie,0xfff9c908,28000213,1159,72,NA Friends
72,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1156,73,✌️✌️✌️
73,#P2PCLQGLR,Clown💞Quantic,0xffffffff,28000139,1156,74,ᴅᴀɪʟʏ
74,#P99QGPLU2,Davex,0xffffce89,28000129,1153,75,Brawl King's
75,#9RVPL0Q0P,Arthur🌸,0xfff9c908,28000018,1153,76,Home Of Esports
76,#JPGRR9UV,Bowserr🥷被,0xff1ba5f5,28000206,1151,77,Brawl King's
77,#299PPJ22L,[MMA]nagibatori,0xffa2e3fe,28000235,1151,78,Showdown💔Kings
78,#CPPC8282,@IMBONOX2,0xffcb5aff,28000155,1149,79,임포스터
79,#YLLJ82CGV,老虎|Francesco🎃,0xffff8afb,28000068,1149,80,LA Global
80,#8R2V0P0,Lukie,0xffffffff,28000348,1149,81,STMN Esports
81,#82GPP9LQ,BC*| Tobi🍉,0xff1ba5f5,28000303,1149,82,BC*|Family*
82,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1149,83,STMN Esports
83,#82CJYJPG2,Yutapin,0xffa8e132,28000190,1149,84,Cipher Pol
84,#CJV2PJ0R,SK | Yoshi,0xffcb5aff,28000135,1149,85,Yoshi Fans
85,#Y989VP,『Tiziano™』,0xff1ba5f5,28000348,1145,86,Wasted🥱
86,#2RL8LGV9Q,🐼iBearQu❦︎,0xfff05637,28000352,1144,87,High Quality
87,#89JUJUVYL,𝓓𝓸𝓻𝓪👻🐉,0xfff9c908,28000020,1140,88,❅︎Merryの家𓍄𓂃𓈒
88,#9JPJQGCU2,Agent｜takayuki,0xffffffff,28000183,1138,89,DEEMO
89,#82U9GYQR9,𝐀𝐥𝐞𝐱𝐳🔥,0xffff9727,28000247,1133,90,HeadShoterZ💣
90,#2QJJ2CPG,Elvis,0xfff05637,28000203,1133,91,MegaPigEnjoyers
91,#8LC808G,Tuyu,0xff1ba5f5,28000349,1131,92,@Tuyu_Official
92,#J8YPGR,Twitch: Tobi,0xffcb5aff,28000000,1130,93,Brawl King's
93,#90V9VYJ8C,しょうけい,0xfff05637,28000242,1129,94,なかよし部
94,#8L0PJ0R0V,Kryzz❦,0xffff9727,28000265,1127,95,🌴|<c3>HM</c>
95,#8QGY9C9VQ,༄ᵗʷⁿ̃ℛℴ𝓎ᵍᵍ♕,0xffff8afb,28000278,1127,96,Players BS 2
96,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1126,97,<c5>Just Us</c>
97,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1125,98,Blue Label
98,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1124,99,7 Dwarves
99,#8QVGJQGGC,ᴀsᴛʀᴏ >.< 🖤,0xffff9727,28000272,1120,100,Kings United II
100,#8GUPLYY,FG | Jene,0xffff8afb,28000135,1119,101,clover
101,#GVQUYG90,Shattered ⟡,0xffffffff,28000000,1118,102,7 Dwarves
102,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1112,103,7 Dwarves
103,#80PC2QJCR,❥Hazzēиs✧,0xff1ba5f5,28000348,1111,104,7 Dwarves
104,#RPU90PVJ,Inveja,0xfff9c908,28000129,1108,105,🧀MUSSARELOS✨
105,#989GVG0UR,陰|₦Ї₦ℑ₳™👑,0xffa8e132,28000305,1108,106,Good Players 💫
106,#GRCYVRJG,Edgar🤍æ,0xffff9727,28000176,1107,107,7 Dwarves
107,#9CG8LJU8,『ᴵ ᵃᵐⱧ₳₥Ⱬ₳🎭🥀』,0xffcb5aff,28000293,1107,108,Tribe Turkey
108,#8GYJGVYR,thicc❤️basta,0xffff9727,28000233,1107,109,TheBrawlingKiwi
109,#2YCR9RLCJ,Tris🍃,0xffcb5aff,28000095,1106,110,
110,#GGQ8VJVC,AO | Taikamylly,0xffff8afb,28000339,1106,111,MunkkiHunters
111,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1104,112,めろんぱん食堂
112,#99PYJ29R2,Seriponse🍭,0xffffffff,28000018,1104,113,<c3>ÉLITE</c>
113,#2PC29VJP0,feyen✞,0xffffffff,28000000,1104,114,Real Ones
114,#PLQ0PYJVV,THB|Pipe♟️,0xffff8afb,28000262,1104,115,7 Dwarves
115,#2Q028GQQP,MTM | Zeus,0xfff9c908,28000018,1104,116,NA Friends
116,#9P98UCUV,Eydan,0xffff8afb,28000247,1104,117,Beyond Champs
117,#GV9GRLJJ,Counter,0xffff9727,28000265,1104,118,NA Friends
118,#99YL0PV9V,𝐍𝐓|𝐋𝐮𝐢𝐬𝐮,0xffffce89,28000349,1104,119,✌️✌️✌️
119,#YPP02G9L,Mxrf 🐝,0xff1ba5f5,28000291,1104,120,Beyond Washed
120,#9LV0Q00YV,영원한감동,0xff4ddba2,28000082,1103,121,새싹
121,#LRJ9YYQL,☞Տӈᴀ⚜ᴅᴏΧ๛,0xffffce89,28000014,1103,122,CONEXIÓN
122,#PUYRY99J,SEA|kumachi♪god,0xfff05637,28000294,1103,123,gloria🎈
123,#829LJ28CU,toxicgenie🃏,0xffcb5aff,28000286,1103,124,Real Ones
124,#QR90UY9L,Lipe❤️Pandora,0xffff9727,28000203,1103,125,Revenge Gaming
125,#22GQU2LLP,IᴛᴢFɪʀᴇ❤️‍🔥,0xffff9727,28000333,1103,126,CONEXIÓN
126,#28LYUL8JP,𝙲𝚘𝚍𝚎ˢˣ❥𝙹en,0xffcb5aff,28000337,1102,127,🧀MUSSARELOS✨
127,#8UYQRLQQV,Cwowお,0xffa8e132,28000331,1102,128,InTeamRasur
128,#2JGVVPY,Nobody 🕊,0xffff8afb,28000006,1102,129,NA Friends
129,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,1102,130,Beyond Swift
130,#R2LR2QLG,NOUN | Mohtep,0xffffffff,28000243,1102,131,A Few Good Men
131,#280RJ92JC,ExP |BloocK,0xfff9c908,28000242,1102,132,CONEXIÓN
132,#YCC8CJU,Captainroxx⚡️,0xffff9727,28000262,1102,133,<c7>BLITZ</c>
133,#PGY9ULY,PollitoMan,0xffffffff,28000348,1101,134,7 Dwarves
134,#298JUYR29,Chase-Itz,0xffcb5aff,28000156,1101,135,Beyond Kratos
135,#R9J2V0CL,Dazbee❦͙ 다즈,0xffcb5aff,28000014,1101,136,Supercell.jp
136,#GV00QCYL,ɆⱠĐł₦™×͜×,0xfff9c908,28000019,1101,137,🧀MUSSARELOS✨
137,#220PGLU02,家|𝑴𝒆𝒎𝒆𝒏ϟ,0xffa8e132,28000163,1101,138,You and me 💜
138,#QJULVGU,QLS | Edinho,0xff1ba5f5,28000194,1101,139,Ghost Team👻☔
139,#2L0G9RVQ9,CODE : YOUYOU,0xfff9c908,28000186,1101,140,Radiance
140,#2JY989R0R,Queen,0xffffffff,28000207,1101,141,k ttc
141,#29UC8UV98,🔥Mma Ukr🔥,0xfff05637,28000263,1101,142,Brawl King's
142,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1101,143,Ex0tic-E-Sport
143,#20JYLU8JU,でんじゃらすトミーさん邪！♨️,0xffff8afb,28000320,1100,144,オーシャンズビュー
144,#8J9PPC880,𝐁𝐫𝐞𝐞𝐳𝐲❦,0xffcb5aff,28000218,1100,145,🧀MUSSARELOS✨
145,#9VP2R0P9,ToxicZan,0xff1ba5f5,28000352,1100,146,Real Ones
146,#PP8URGQL8,J. Álvarez ⁹🕷️,0xff1ba5f5,28000139,1100,147,Emi's bar 🍻
147,#2LY99YGP8,HJK┃エネ↯,0xffcb5aff,28000338,1100,148,<c2>エホヤキム</c>
148,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1100,149,
149,#20CQLYP2C,TBEjason,0xffff8afb,28000336,1100,150,Brawl King's
150,#2P088J29C,Matt,0xffff8afb,28000333,1100,151,<c5>Just Us</c>
151,#GJ9PLGPL,ReSn|Snake🐍,0xff4ddba2,28000101,1100,152,Lose?
152,#8JLRVYRU,- NOZÉ -,0xffa8e132,28000194,1100,153,★the Players★
153,#URYL2JU2,ᶜᵗ|♡︎20/04♡︎シ︎,0xffa8e132,28000179,1100,154,Nҽɯ Sƚαɠҽ🎖️
154,#RC8GU2G,Ascend-.-,0xffcb5aff,28000014,1100,155,Havoc Echo
155,#Y2CU828,Jorge🖤🐼,0xff4ddba2,28000349,1100,156,CONEXIÓN
156,#29JJCQULC,BC* |Crusher🍉,0xfff05637,28000175,1100,157,The rise
157,#2RUVRJYJ2,SY|Faͥbͣuͫᴳᵒᵈ☔,0xff1ba5f5,28000061,1100,158,Ex0tic-E-Sport
158,#2YP88Y8RG,xKapix,0xffffffff,28000210,1100,159,UNDERDOG 🇵🇱
159,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1100,160,Tribe Turkey
160,#CLCPQ2R,Agûstin ᴹᴰᴮ,0xffffffff,28000349,1099,161,Elite Saiyan🔱
161,#RR889U0V,愛|CalmChess👑⚜️,0xffff9727,28000305,1099,162,7 Dwarves
162,#22GP8YYGY,🌴HM|𝚣𝙳𝚞𝚍𝚞,0xff4ddba2,28000290,1099,163,🌴|<c3>HM</c>
163,#9YLCYJ2C,₮₱|Ɍϟ|Mᴀᴛ💜Jᴀᴅ,0xfff9c908,28000277,1099,164,★the Players★
164,#GG8RL2CP,Kevin❤️‍🔥,0xffffffff,28000135,1099,165,……
165,#2282LR0YG,Ken-G,0xff1ba5f5,28000122,1099,166,STMN Esports
166,#QLVP829R,Gas,0xff1ba5f5,28000122,1099,167,A Few Good Men
167,#2G2VVUR80,〆𝓢𝓲𝓷𝓼𝓽𝓻🎈,0xffffffff,28000139,1099,168,Family 69 💯🦾
168,#V9L9Y89R,Stealth🌴,0xffffffff,28000075,1099,169,Real Ones
169,#GGLCRVCC,VoreMeWillow🤤,0xffffffff,28000246,1099,170,r/BSC |BSC
170,#28C9LCPY8,DaigoMR,0xff4ddba2,28000052,1099,171,Perro salchicha
171,#L0CJJ9YL,をchicoあ🌸,0xff1ba5f5,28000170,1099,172,BC*|Family*
172,#889V9VJV0,ℤ𝒆𝕕z𝕚𝔵,0xffffffff,28000139,1099,173,Katze 🐱🐈
173,#99GGUPY2U,FD|Dan,0xff1ba5f5,28000233,1099,174,エイリア学園
174,#8YRJ998CQ,♏§čøřPíû§♏,0xff1ba5f5,28000095,1099,175,행복배달국
175,#2VJCULCY,🌋Slowwing🌋,0xffff9727,28000132,1099,176,
176,#V8JP99J0,ZKN|Fantas🦊,0xffffce89,28000014,1095,177,Monkey’s Island
177,#22VCCL88G,🌪️ʜᴜʀʀɪᴄᴀɴᴀ🌪️,0xffcb5aff,28000302,1095,178,Hurricana gang
178,#22PJGVJYJ,히치Luxito🥀,0xffffffff,28000321,1094,179,No Mercy
179,#90YGQVCV,Jonas🤭,0xff1ba5f5,28000167,1092,180,Cuties🤭
180,#L0PQLCLY,기롱❦(卯),0xffffce89,28000247,1091,181,<c1>BBOBBY</c>
181,#808YCJQ0,Shafin,0xffffce89,28000339,1090,182,Mini Me’s
182,#8Q80P982R,𝐍𝐓|𝐀𝐚𝐫𝐮,0xffffce89,28000303,1089,183,✌️✌️✌️
183,#2RG0LV02,STMN | Scofield,0xff4ddba2,28000136,1088,184,vMoove
184,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1087,185,Vitality
185,#YLV8CL0R,Astaaaa❤️‍🔥😈,0xff4ddba2,28000347,1080,186,Tribe Turkey
186,#9UCUJ29C,king faheem,0xff1ba5f5,28000046,1075,187,The Revengers
187,#Y9LYC98PG,LMD🍋Aimer,0xffffffff,28000265,1074,188,たつきすねげ
188,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1073,189,Ghost Team👻☔
189,#8CRC9QUY9,팀원 버스타는Daye🤱,0xfff9c908,28000124,1073,190,<c1>BBOBBY</c>
190,#YPGUYYLJ,Mad Gamer,0xffffce89,28000347,1072,191,BC*|Family*
191,#JG08RYCQ,IMP|Devansh,0xffa8e132,28000279,1072,192,<c0>IMPACT</c>
192,#2P0V0CQQ2,FG | Naipishu,0xffff8afb,28000034,1071,193,clover
193,#9LC9VP8QR,笑っちゃう男,0xffffce89,28000203,1071,194,レインボーの風船
194,#9LJ0G22RL,QLS|MITO,0xffa8e132,28000347,1068,195,🧀MUSSARELOS✨
195,#GVJ82JR8,Kazumi,0xffcb5aff,28000291,1068,196,Ex0tic-E-Sport
