,tag,name,badgeId,trophies,rank,memberCount
0,#JJLQUJJP,Kwiaty Spajka,8000013,2256789,1,12
1,#2QG2V8Q0Y,Asyaa Squad 🐢❤,8000023,2252004,2,1
2,#L8P0YUYY,QARABAĞ🇦🇿,8000031,2033874,3,30
3,#2PP9YGYGV,FrïēñdlyFôrtúñe,8000057,1991881,4,30
4,#2C2G2GUPJ,No Mercy,8000029,1885765,5,28
5,#2JQ89LCJV,B T H Alfa,8000025,1776194,6,30
6,#2RUQ9R0VG,LA Instinct,8000035,1747470,7,30
7,#2CRQG9VJ0,Kidz With Gunz,8000059,1580475,8,30
8,#RCL2PRVR,●°A M U S°●,8000025,1546934,9,30
9,#2RC9LRJU0,AR.ES,8000052,1526689,10,28
10,#28LQCPLY2,<c2>Phoenix</c>,8000037,1494045,11,30
11,#VRG22YU0,Tower of God,8000023,1484683,12,30
12,#289R0YLPQ,B T H Gamma,8000025,1474778,13,29
13,#LYVRVQ99,chacareros,8000009,1473792,14,30
14,#P0J8RQYU,《BRAWL MASTER》,8000059,1472400,15,30
15,#P99PV2LG,AF|KINGS®🛡️,8000027,1467034,16,29
16,#2PGU0209,QuarrySecret,8000033,1454832,17,30
17,#2G2000UC2,Infinity ARG,8000003,1445561,18,30
18,#2QUPVUYVQ,<c0>ArgStar</c>,8000052,1441970,19,30
19,#2LYCR2GVU,Top Los Zarnas,8000025,1437368,20,29
20,#9RYG2V,DulcedeLeche,8000029,1420279,21,30
21,#28PPRR0RV,B T H Beta,8000025,1420245,22,30
22,#VRUC0LJ8,Los Fantasmas👻,8000057,1409566,23,29
23,#2C29UUG8V,MT Leyendas,8000059,1401357,24,28
24,#22VPQ2VU9,<c5>Sky</c>Crew,8000052,1399789,25,30
25,#2CQ0R9JQQ,Retirated Crew,8000039,1398688,26,30
26,#CJ2GPGUL,|Bandurri|,8000023,1396396,27,30
27,#299UY02PP,los picantes🌶️,8000037,1384351,28,30
28,#2GURGGCGQ,Arg marpla,8000035,1383920,29,30
29,#2JVR9G8QL,SQUAD ELITE,8000034,1360914,30,30
30,#2C9LRRYCV,Los Marginales™,8000019,1351771,31,30
31,#2RL2LLUPU,Aston B¡rra,8000001,1343165,32,30
32,#VU0VCRQ,¥MilanesayPapas,8000025,1341220,33,30
33,#29PGJY92Y,New Era,8000021,1333055,34,30
34,#2L9VPV2JP,Golden Monkeys,8000018,1330869,35,28
35,#222LVL298,><Dark Place><,8000011,1325061,36,29
36,#2GPR2RPJQ,xGaming,8000023,1324443,37,29
37,#2GYY90U00,<c2>Won</c>Kru,8000037,1321967,38,30
