,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4042456,1,30
1,#2QG2CV9YV,Edelweiss🐙,8000021,3544720,2,1
2,#2C0GL8J0U,🧀MUSSARELOS✨,8000046,2062434,3,30
3,#2GYQLVJPV,★the Players★,8000049,2055003,4,30
4,#29U82J9YP,Kings United,8000055,2036082,5,30
5,#2JR80PP28,Easy Ltda,8000055,1914181,6,30
6,#28JLR82RP,Brawl star top,8000004,1806250,7,30
7,#QGP28VU2,OverPowers,8000023,1786435,8,30
8,#29JYV9PU8,Kings United II,8000055,1740605,9,30
9,#2CLPPG2VU,Ghost eSports,8000035,1737272,10,30
10,#YPJRGGLU,Elite Saiyan🔱,8000029,1734927,11,30
11,#2C8V9JVYQ,Brawl Kings Br,8000029,1727069,12,30
12,#QRU9C9GG,🌴|<c3>HM</c>,8000013,1714361,13,30
13,#2G98J0QRC,Fora da Curva®,8000014,1711918,14,30
14,#29VLQ0PRG,★SᴛᴀʀPʟᴀʏᴇʀs★,8000053,1702671,15,30
15,#QGRCP2QL,🧀MUSSARELOS 2✨,8000049,1698321,16,30
16,#YVYJG99V,Revenge Gaming,8000018,1696082,17,30
17,#2C8GQULLY,Imperium Z,8000055,1685828,18,29
18,#2YVR90YQG,<c0>VERSO 7</c>,8000033,1677467,19,30
19,#208LVVJRL,White Storm!,8000055,1677131,20,30
20,#2C9RRGULU,GAMEOVER,8000023,1676723,21,30
21,#2G0QYQQP0,★₮ĦɆ ₱Ⱡ₳¥ɆɌ$2 ★,8000049,1673470,22,30
22,#2JV9VJG00,Easy Ltda II,8000055,1635841,23,29
23,#2GU90QPYC,BRZ Storm ⛈,8000019,1623757,24,29
24,#2QCRQG0UU,Ghost Team👻☔,8000029,1609833,25,30
25,#2GPP8VV82,NGGL,8000008,1602799,26,29
26,#2082CP2LR,Wᴏʟғ ɢᴀɴɢ 🐾,8000040,1581295,27,30
27,#YJQJQYQJ,HONRA BRAWL,8000018,1576221,28,30
28,#2GG0VGPLV,United Stars ✨,8000018,1572588,29,30
29,#L9YP22PP,Himalaya,8000035,1568837,30,30
30,#VG8C2YJR,Nevoy,8000059,1561955,31,30
31,#2QCJQC0V0,ZETA|DIVISION'S,8000041,1561011,32,28
32,#202V229YL,ALMOFADINHAS,8000057,1555068,33,30
33,#2088P8P2R,🔥FIRE PUNCH🔥,8000037,1545704,34,30
34,#299V2P0R9,UBS|BRAZIL STAR,8000018,1544036,35,30
35,#RR2R0LV,PUNCH BR,8000000,1538114,36,28
36,#2GV0G9082,BRZ Storm 🌪,8000019,1529163,37,30
37,#LRL2LLJ0,✨SVG STARS✨,8000006,1514994,38,30
38,#2GP2QJ0RV,FEROZ FORCE⚔️,8000049,1509891,39,29
39,#2CR9GQYYP,Monkey’s Island,8000056,1509575,40,30
40,#VL22JCRC,Elıte ϟ Club,8000007,1502710,41,30
41,#2R2PQUVVC,Passione,8000049,1488661,42,30
42,#QC8VQ2GU,Apex Gaming,8000052,1487488,43,30
43,#2G9GQQ8PR,SoNois,8000007,1485185,44,30
44,#2Y8JPYQ2U,UNIVERSITY,8000007,1484381,45,30
45,#29R000JUP,The Crias🐉,8000045,1476916,46,30
46,#20CPPYR2Y,Liga de Clubes,8000000,1474994,47,29
47,#290JQ2CPG,DRAGON FIRE,8000049,1469352,48,29
48,#2GLQVGGUG,Sede de Poder,8000007,1467004,49,30
49,#YQQJCCUY,WOLVES HUNGRY,8000035,1466566,50,30
50,#20P2Q8LUL,X-Force,8000011,1454490,51,29
51,#YPJ9LVYR,BrawlEliteBr,8000023,1454088,52,29
52,#YLPQGLVY,Malditta',8000025,1451558,53,28
53,#2GYJP8Q00,Good Game™️,8000023,1450839,54,30
54,#2JRV88Y00,BRAWSIL TOP BR,8000056,1449314,55,26
55,#822PLRG0,Imperial Joints,8000049,1444099,56,30
56,#PRVVU0,STRANGERS BR,8000053,1437337,57,30
57,#2QYQYG080,𝚄𝙽𝙱|União BR,8000052,1436412,58,30
58,#22CPV2Y2,Black Panthers,8000004,1436224,59,30
59,#2C98L082U,The Lords,8000023,1435890,60,30
60,#2GL9880YJ,BR Family|Alpha,8000055,1434210,61,30
61,#2QLP0QGQ0,CLASH WARS BR,8000004,1433378,62,30
62,#2J8V9UVLR,Noob Gang,8000023,1426180,63,30
63,#2P2JVJV0U,4K Brazil II,8000023,1426000,64,30
64,#2GUVU8VGV,Brawl BR'S,8000004,1423157,65,30
65,#290J9JL8,pagodin domingo,8000035,1422935,66,30
66,#2C8G0JUU0,pusinig4,8000037,1422238,67,30
67,#2QCR808P8,Fortress br III,8000050,1421694,68,30
68,#VV0000Y0,Fortress br,8000039,1420806,69,29
69,#2GCJJ2JRR,Eᴍᴘɪʀᴇ Vɪᴋɪɴɢs⚔,8000004,1420232,70,30
70,#28YQVVULR,X-Force lll,8000033,1413739,71,29
71,#2C8R8VVUV,Twig Elite,8000032,1412789,72,30
72,#QR0J90JQ,Alpha Team – AT,8000023,1412535,73,27
73,#28UUYL9U2,Pro Player Br,8000023,1411541,74,26
74,#2LYJ99L88,Nøᵂᵅᵞ,8000029,1410881,75,30
75,#QY82UQRY,supercellstudio,8000017,1405044,76,30
76,#V0V8VUJ9,ATIVOS 200%,8000037,1404993,77,30
77,#2C8GPU2LR,Eclipse 🌖,8000018,1402588,78,24
78,#29QLQJJYP,The Mercury,8000010,1400341,79,30
79,#2LCRG8RC,Brawlzil Force,8000021,1400134,80,30
80,#2CJRLQCYU,oS pErPÉtuoOS,8000045,1399583,81,29
81,#2RULYQLYC,OS FOFOS,8000021,1399240,82,29
82,#28JVJ8P2G,OS RENEGADOS,8000037,1398505,83,29
83,#2R0GV2QCG,Estrela Club,8000006,1391605,84,30
84,#29LJL0CRG,👑Kinglers👑,8000029,1390430,85,30
85,#JJYR9990,CHEEMS CLUB,8000013,1390069,86,30
86,#2RR9CYYRC,SHAKEDOWN,8000021,1387773,87,30
87,#QJPJ9GUJ,Texas burguer🍔,8000018,1385579,88,30
88,#2082RVPUL,NOVA l BRASIL,8000018,1384753,89,30
89,#28P0V09P,✌AMIGOS BR✌,8000007,1383336,90,30
90,#2GYCJCCP8,White House🐻‍❄,8000055,1380921,91,30
91,#2C8VGV8PR,Brawl Kings Br2,8000029,1380637,92,29
92,#2PV2PRU02,Docindecoco🍬,8000057,1378398,93,29
93,#2CRYC2PQC,PIRATAS BS,8000004,1371414,94,30
94,#2GVUYPJQJ,StarrAcademy SA,8000006,1368778,95,30
95,#2RJLUUPYU,🇧🇷🐋🐬🐳🇧🇷,8000019,1368268,96,30
96,#2C8YGYC8R,<c0>Focus</c>,8000055,1367110,97,30
97,#PCUG28Y,KILLERS BRAWL,8000004,1367040,98,30
98,#29QUPY2U9,Team KINGS,8000055,1361982,99,28
99,#V08U8C9J,NovaEraBrasi🐉2,8000043,1361099,100,30
100,#VPG0R2Y2,Horizon,8000055,1360613,101,30
101,#2GR88YVL8,Noobs,8000031,1360295,102,30
102,#2Y9QV202U,Darks ⚜️,8000008,1358989,103,30
103,#2PY892YY8,Infinity Shoot,8000004,1358130,104,30
104,#JR98VJ0C,⚔️ALIANCE⚔️,8000029,1358093,105,30
105,#Q20P0P0G,VLD|Loyalty,8000004,1357366,106,30
106,#QR0LG0P9,OVNI🛸,8000012,1354748,107,30
107,#V0RP90G,princesstopzona,8000025,1353791,108,30
108,#RLGJ22P,Trem Bala,8000022,1352989,109,30
109,#2JYUUC82P,university zero,8000006,1352317,110,30
110,#2GQCG8CYY,ᴀʟʟɪᴀɴᴄᴇ ʙʀ,8000025,1351087,111,30
111,#YCUVJ0LG,Tropa da Night☠,8000012,1350922,112,29
112,#2RQ8RUCQQ,Black Limone™️,8000027,1350820,113,29
113,#2GVLQU2UY,Team Seven,8000039,1343863,114,29
114,#20CUCG0YU,☯TROPA DE ELIT☯,8000011,1340791,115,30
115,#2C8CPVCLR,Imperium X,8000055,1340780,116,28
116,#PUJGP28,Brasil Gods,8000006,1340134,117,30
117,#2QJCRGQVU,SPACE X,8000055,1338283,118,29
118,#2JCGLQQR8,<c0>Ghost's</c>,8000031,1335797,119,30
119,#29R90UV89,TokyoManji 🥋,8000006,1333134,120,30
120,#2Y9PP2JUP,🔥FĮŔË ØF ŞØŲŁŞ,8000037,1330298,121,30
121,#8URGQQC,cearáblac,8000007,1329105,122,30
122,#2C9Y9PU8G,♠️ FullHouse ♦️,8000006,1328606,123,27
123,#2LVCUPGQC,STRONG AND UNIT,8000055,1327160,124,30
124,#298GP8YRV,LOS DA KILLA,8000004,1326877,125,30
125,#2GY8G220C,Outlaws Desert,8000017,1325992,126,30
126,#28RULC9VV,Trio brawl👻💪,8000059,1325758,127,30
127,#980P9V,Brawlers Brasil,8000008,1324547,128,30
128,#2922JGJLJ,SUPERCELLTA,8000006,1323546,129,30
129,#2JC9UPJLV,Brawl Star Top2,8000004,1321944,130,30
130,#2C8YYPQ2R,StåRFøRçë ⭐️,8000018,1319155,131,28
131,#2JG2GGGVU,𝕘𝕘ᴡᴇʟʟᴘʟᴀʏᴇᴅ,8000039,1317811,132,30
132,#2Q2C00UGV,BrasilStar,8000000,1317345,133,30
133,#2RQLQJ8LG,COD|ClubeBRawl,8000053,1316132,134,30
134,#2JL8GLV02,<c4>AFI</c>ADOS,8000018,1315205,135,30
135,#2GJLQJPJU,Aldeia da Folha,8000044,1314160,136,30
136,#2GPPY2RC0,Storm Wind,8000039,1312145,137,30
137,#2C2RUC0V8,Easy Ltda III,8000055,1309820,138,29
138,#2GR2G2CPY,BRZ Storm🏆,8000019,1308943,139,30
139,#2928V80Y8,Ceka Brawl,8000019,1308675,140,30
140,#2J0C9QLJP,ExércitoBiulet,8000037,1308100,141,30
141,#2RP2GYRCC,Silver Gold,8000029,1307661,142,30
142,#2GYG800CJ,GamePlay D,8000023,1307237,143,30
143,#2GP2P9J82,<c6>4</c>FUN,8000018,1304686,144,30
144,#2G09RRU99,The Kamikaze's,8000016,1299044,145,30
145,#8JCCG2VU,🌐SUPER TROPA🌐,8000021,1298640,146,30
146,#2GG0G2UJU,Eᴍᴘɪʀᴇ Vɪᴋɪɴɢs⚒,8000027,1297304,147,30
147,#22G8JY82,WAR CRY - BR,8000050,1296891,148,28
148,#298VG8PV2,🌀'ON_LEGENDS🔥,8000033,1296094,149,30
149,#2CRVVR0CQ,Storm Club,8000011,1295176,150,30
150,#LJCJJQ,ZeroAbsoluto,8000031,1294456,151,30
151,#22282CGGQ,Byron da lancha,8000029,1293680,152,30
152,#8LC0YQ0L,Os Intocáveis,8000018,1293412,153,30
153,#2G0Q8YJR9,NightMare<cs,8000057,1293060,154,30
154,#Q9QCUGYY,LENDÁRIOS,8000053,1292953,155,29
155,#88GLR20,⚡️The Brawlers,8000019,1291932,156,30
156,#2G82CRUYL,Tꬾurꬾs ₪egrꬾs™,8000021,1290331,157,29
157,#298G2RGLY,Os Turbinados,8000029,1288907,158,29
158,#2R8RV88LV,S0NS OF KING,8000023,1287194,159,30
