,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4048284,1,30
1,#2LLP0L0UR,Kazakh Stars🥀,8000018,2131538,2,30
2,#28V9C9RQL,DARK CLUB ELITE,8000023,1828881,3,30
3,#2G8CJP0QU,Fire❤️‍🔥Brawl,8000037,1691976,4,30
4,#2G80PQYQ9,Clash nation,8000037,1547520,5,30
5,#29PUUCRRU,O<c5>P</c>,8000055,1523780,6,30
6,#2CL20VJ8V,CODE : OG,8000012,1499367,7,30
7,#UL0PY0V,Vancity Kings,8000021,1462927,8,29
8,#92LQJRRV,BBQ Headquarter,8000023,1448969,9,29
9,#2PP00,Orange Juice,8000016,1443511,10,30
10,#2QCP8JUVC,Canadian Brawl,8000007,1434657,11,30
11,#29P8G9LJP,THE MASTERS,8000052,1430752,12,30
12,#UR8RJG8G,Lay'dBackNation,8000002,1428203,13,30
13,#2JUC8R8PG,Cori’s Crew,8000004,1411769,14,30
14,#2GG0GYQJ0,Vancity Peasant,8000018,1401906,15,30
15,#C9Y29P8V,best brawlers,8000021,1399591,16,30
16,#2RCRUPLV,D A N G E R,8000025,1396897,17,30
17,#20YRVGG9J,Dark Assassins,8000004,1382677,18,30
18,#29YPJJV20,<c2>RedStar</c>,8000006,1378332,19,30
19,#2GJ88JVGV,AE Aces,8000023,1368616,20,30
20,#2JJPLVRQ9,Peaky Blinders,8000030,1367503,21,28
21,#C8GGLU2,J.G killer,8000016,1358836,22,29
22,#2GJY0UQ99,Team Canada,8000037,1347178,23,30
23,#2JUJQQUJU,The Crushers,8000037,1346556,24,28
24,#28YPPLCL0,Qc|Omega,8000003,1342883,25,30
25,#2G0VLYQYG,Own Boss,8000036,1341271,26,30
26,#2GLGUVYC9,🔥THE LEGENDS🔥,8000029,1340592,27,29
27,#28V2G2VVV,Sparu Unit,8000016,1338056,28,30
28,#2RCPLUJJU,BLZ | Ngs,8000003,1332693,29,29
29,#282GY02VJ,RicoLover06 ☔️,8000036,1323204,30,30
30,#2J8P2YJUG,Qc|Warriors ✌️,8000012,1322698,31,30
31,#20RVJGR9G,rcm,8000013,1318307,32,30
