,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4000801,1,30
1,#2QG2CV9YV,Edelweiss🐙,8000021,3748259,2,1
2,#2RVVLYR0G,Ex0tic-E-Sport,8000030,2157842,3,30
3,#2JCRVU8QR,vMoove,8000053,1936749,4,28
4,#2VGVCR,tontonflingueur,8000022,1936520,5,30
5,#2GCUCRQPR,SY Origin,8000003,1890894,6,30
6,#2CJ20CJJV,L'ÉTOILE ROUGE,8000006,1839310,7,30
7,#2G0QLR00C,Allez Laaa,8000059,1827390,8,30
8,#2GPJQU2QU,FC OWEE 🐐,8000037,1814622,9,30
9,#200P2Q999,Adulte France A,8000021,1798686,10,30
10,#2PRR0L9PV,Unima Gaming,8000015,1798627,11,30
11,#2QURR0YPU,Ꝉҽʂ ҠìӀӀҽɾʂ ™💣,8000038,1795495,12,29
12,#29C0CJ9CQ,ƝօɓƖҽʂ ƘíƖƖҽɾʂ,8000056,1775666,13,30
13,#2JUCV222R,YT : ELCANGRI,8000034,1771089,14,30
14,#22PCPYRP2,Family,8000058,1750458,15,30
15,#GPV2LG8Y,VV eSport,8000023,1735421,16,27
16,#2JJ22G9RR,TL|Team Luzou,8000007,1732442,17,30
17,#2G28CCVR9,16-14|Esport🏓,8000023,1729160,18,29
18,#UJCQVJV,BS Immortals,8000010,1724235,19,30
19,#2YU802CCP,Little Italy,8000029,1720123,20,30
20,#2C8RVUL2V,SNKㅣFamily,8000037,1718836,21,30
21,#2P2GVCYP9,⛩sombre 桜,8000037,1715269,22,30
22,#2JGRGRYLL,SY Origin II,8000003,1713713,23,30
23,#2L9VJCYJ2,New Dawn,8000057,1696640,24,30
24,#2CCLQLJ88,SY Naoxx🐺,8000011,1696083,25,30
25,#29RG2J022,ATM☔️|Team🔥⚡️,8000034,1692993,26,30
26,#2PRRQ8QCC,Unima III,8000015,1676744,27,30
27,#2C2P00L90,FUT ESPORTS,8000006,1669225,28,30
28,#2GJVGP20Y,New Dawn II,8000057,1668394,29,30
29,#22V2RRQ0Y,Layan_tv,8000049,1665733,30,30
30,#2RG2JQY8R,Spike on Fire🔥,8000013,1665682,31,30
31,#29PUGP9Q8,30|Sigmas,8000057,1665212,32,30
