,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4038965,1,30
1,#2GUU9908V,BC*|Family*,8000023,2196809,2,30
2,#208UU822P,A Few Good Men,8000023,1962768,3,30
3,#2G8QUG28Y,DPB | ⚡Esport⚡,8000019,1859122,4,30
4,#2L0V9Y9JJ,BC*|Gaming GER,8000023,1831886,5,30
5,#2CQJY8RQ9,Home Of Esports,8000029,1777479,6,30
6,#20G0UYQL0,InTeamRasur,8000013,1767306,7,30
7,#L9Q09LGC,Vikings VI,8000021,1729374,8,30
8,#2QGYGQPRJ,BosnianBrawlers,8000010,1726983,9,30
9,#2029CLRYV,Brawl Imperium2,8000023,1722588,10,30
10,#29CLQG2JG,Die Tafelrunde,8000023,1716604,11,29
11,#CPVPVL09,DrachenLegion,8000057,1711251,12,30
12,#2GYC80LGP,Celestyn,8000025,1705523,13,30
13,#22PUG0VJP,🇩🇪LEGENDS🇩🇪,8000025,1666122,14,29
14,#2G89JRY00,<c5>Night🌙</c>,8000055,1659225,15,30
15,#28PVVQ220,🎆Galaxy CM🌌,8000052,1657294,16,29
16,#GC8YR9R0,sonne🌞🌕,8000041,1620969,17,27
17,#2JLVRY2P9,DerNita,8000037,1612725,18,30
18,#2JJJUUGPR,Team Jonas,8000029,1611833,19,30
19,#2JVJ2GG2Y,United Empire,8000036,1609388,20,30
20,#298CR0QRJ,Reply Totem DE,8000043,1603498,21,29
21,#2CJ8YYJV9,Thunder⚡️,8000019,1598643,22,29
22,#2CCQ99U88,Deadly Vipers🐍,8000012,1593429,23,30
23,#2GL89V2GG,🇩🇪LEGENDS #2,8000025,1584776,24,30
24,#2YP8RJCCP,ɴɪɢʜᴛ ғɪɢʜᴛᴇʀ,8000021,1579514,25,30
25,#2GP8JY00R,Zeitlos⚡DE,8000019,1569821,26,30
26,#VVC8VJRR,ZeitlosDE,8000018,1564161,27,30
27,#2JQRC9Q9R,Team Anyx,8000052,1559881,28,30
28,#2GQRUV2RJ,TK|The King,8000023,1559452,29,30
29,#2LVLRGJRJ,DarkEvil™,8000037,1558692,30,30
30,#28CUC9QJJ,HellsAngls,8000029,1541854,31,30
31,#2RGQQQ9CQ,<c9>Rang25 </c>,8000007,1535809,32,30
32,#2C98L809G,SK Gaming EU,8000008,1533186,33,30
33,#2QUPCVY9Y,DE|Dragone🐲,8000025,1532538,34,30
34,#RYC90C0G,Home of SKILL,8000059,1520678,35,29
35,#2JVQRG2JP,Schlafmützen,8000031,1519704,36,29
36,#2CJ2QULR0,The Explorers,8000035,1518385,37,30
37,#2GPLPQ99Y,Ü30 RED,8000023,1518304,38,29
38,#2CC9YV0GV,GoatLife,8000018,1517324,39,27
39,#29PCCYUGR,NRW|Flay🔝,8000037,1516937,40,29
40,#2JCQ8L892,Chefkoch Army,8000029,1513909,41,29
41,#2GY8UC0Q2,Fake ⛏️,8000042,1512268,42,27
42,#290QY298Y,BruceTheKing,8000057,1511838,43,30
43,#2CL2GRP88,Death Zone,8000037,1511459,44,30
44,#2Q2PGL299,TEAM MOLTSCHÜ,8000057,1503841,45,30
45,#2GYCQCLPP,ICED OUT ❄️,8000050,1496736,46,30
46,#2LLV8RYVR,Team Dai,8000023,1482805,47,29
47,#2RCJ8CR2L,AX|Esport🉐,8000023,1481635,48,30
48,#2P0YJRQ9R,Eiseskälte™,8000052,1478748,49,29
49,#2Q8L2JQ8R,ɢᴇʀᴍᴀɴ ᴀʟʟɪᴀɴᴄᴇ,8000023,1476912,50,30
50,#29P2V22QY,GRD | Family,8000006,1467182,51,30
51,#2GC9YLJLP,Die Einheit,8000018,1464742,52,29
52,#CYYCJ8GV,LastManStanding,8000027,1463421,53,30
53,#2PJCVJY2C,EvilThunder™,8000003,1462223,54,30
54,#VG2GYRVY,<c9>DeltaD</c>¹,8000037,1461995,55,30
55,#CGV02UYP,Escape|Elite,8000058,1453972,56,29
56,#28G8GYLCG,Air|Esport,8000031,1453169,57,30
57,#298LVCV8Q,Brawl🌟sForever,8000018,1452414,58,30
58,#2JJ2U9GC0,💫Zentral💫,8000029,1451969,59,30
59,#2RLG9Q9GV,Karma,8000029,1451921,60,29
60,#2YCQP9VYU,DeadTribe_😎,8000003,1451821,61,27
61,#9PQRY0C,LmS Gaming,8000008,1449385,62,30
62,#2CJ00UYJR,𝒮𝓊𝓃𝓈ℯ𝓉💕,8000057,1446687,63,30
63,#2JUP2CVJJ,LP|E Sport,8000016,1438302,64,30
64,#2C9LQJ289,Old Skulls,8000037,1438144,65,30
65,#29J90G9Q9,3v3 💔,8000027,1433290,66,29
66,#2CQR82V82,JoTa|Gaming,8000025,1431776,67,30
67,#29L9RUU2Y,GZ | Esport,8000037,1430177,68,30
68,#8RCLC22U,Dinosaurier xd,8000027,1428672,69,29
69,#2JRQRRQPC,D P B|Esport II,8000019,1427702,70,30
70,#9GYYCLQR,CPU |Gaming,8000029,1414602,71,30
71,#2JJP9LGLV,Die Tafelrunde3,8000023,1413701,72,30
72,#L9PLV2LC,Brawl Imperium3,8000023,1408512,73,26
73,#2GQLVVY0L,IRAN,8000025,1402068,74,30
74,#22J0298YP,Dummbeutell,8000035,1401506,75,30
75,#29L9VR2Q,German Brawler,8000033,1401182,76,30
76,#2JVV9GPQ8,Dark City,8000003,1397265,77,30
77,#CQVQYRRQ,Taras Temple,8000041,1389699,78,30
78,#200U89G8C,🇩🇪LEGENDS #3,8000025,1387876,79,28
79,#2JJG989JC,Cuties🤭,8000055,1386685,80,29
80,#22UUJVV2L,The Ultimate,8000023,1386155,81,27
81,#2RUPLYY9U,Gigampfii,8000057,1386082,82,30
82,#2JRCULYPC,Dark|Fighter“),8000000,1385838,83,30
