,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4042402,1,30
1,#2QG2CV9YV,Edelweiss🐙,8000021,3647673,2,1
2,#29GUYV2CJ,AFGMela,8000037,1981751,3,30
3,#UCC29C0Q,TABULA RASA,8000029,1884696,4,30
4,#2JGCUJGL8,Pitchdome AT,8000053,1808418,5,30
5,#2CGPGJLVJ,Master Players,8000029,1806015,6,30
6,#2J8R9GJ22,Few But Good,8000040,1792389,7,30
7,#2YP0LGQ0J,YT: 黑鷹｜CrazyFX,8000019,1767234,8,1
8,#2JRJ9P9UY,One Series,8000033,1752326,9,30
9,#U8J282J9,I LEGGENDARI,8000029,1742763,10,30
10,#220QURYQ,i bomber,8000033,1721796,11,30
11,#2YVPQR8L8,Ale’s friends,8000021,1721266,12,29
12,#2CJLYLP2R,ChuckNorris,8000029,1708150,13,30
13,#VRV99L0Q,Spaghetti House,8000041,1706276,14,30
14,#20LYYJUGL,ASTRON eSports,8000014,1696755,15,29
15,#20PYGGGPU,PV toxic,8000041,1690573,16,30
16,#2RVC9LYYJ,The Crows,8000023,1677650,17,30
17,#2Y2UJUQ9P,ASTRON Perseus,8000014,1656081,18,29
18,#YU92RVQ8,BROWLERONI,8000021,1647920,19,30
19,#2GJPJ2J0R,ASTRON Pyxis,8000014,1637777,20,30
20,#282VU92VL,TABULA RASA 2,8000029,1608755,21,30
21,#8L8Q2QPV,I pekkatori,8000037,1605259,22,30
22,#2RYU0QCYV,Snow eSports,8000033,1600040,23,30
23,#2QJCJYRYQ,❄️TheIceKing❄️,8000021,1596015,24,30
24,#UG9Q8PC,TITANI ABUSIVI,8000035,1593584,25,29
25,#2JRRGR8LV,F/A India,8000011,1592873,26,30
26,#2JUYQJ8GJ,Road 60k,8000023,1589149,27,30
27,#2GC9Y0RG8,League of Stars,8000004,1588308,28,30
28,#2YL0VCYGP,Old Wild Men,8000045,1579439,29,30
29,#2GPLLRCRY,North Star,8000018,1574784,30,30
30,#2CGJUCRPP,We're Back😈,8000011,1570523,31,30
31,#2CC2RUQLL,Light and Night,8000002,1552771,32,30
32,#G8CYLJJV,CROWS'n'CROWNS,8000021,1545959,33,30
33,#29PRGUGGL,⛩️Dark🌪️team,8000037,1545708,34,30
34,#PYP8UVCU,NO WAR🇺🇦-🇷🇺,8000055,1544587,35,29
35,#2GCPPGJ2C,Galaxy Boys,8000018,1544289,36,30
36,#29JLUQ8R2,GA|Esport ❤️‍🔥,8000037,1525329,37,30
37,#2G8RVGQUV,THE PERFECT 🏆,8000059,1524240,38,28
38,#29YUGLJYP,QLASH Italy,8000021,1524136,39,30
39,#2CGYGUV2Q,TRD|TanaDiPingu,8000023,1523310,40,30
40,#2JRG9JRRL,Reply Totem,8000014,1520988,41,29
41,#20Q9C8PRQ,🔥FENICE🔥ITA,8000037,1512451,42,30
42,#2JJV0UPGQ,<c5>No</c>Way™,8000055,1508598,43,30
43,#2RJRU9G8P,OVER Planets,8000044,1506572,44,30
44,#2GURR0GGQ,Thunderlight,8000019,1500350,45,30
45,#P8VLV,Ardore,8000024,1498054,46,30
46,#GVUQUVPL,|TSOD|,8000054,1497133,47,30
47,#QGLYJLPC,Sky House ☔️,8000021,1494431,48,30
48,#29JGL8U28,Master Warriors,8000029,1488982,49,30
49,#Y8C920JP,ACCADEMY,8000023,1474144,50,30
50,#2C8VC80RR,The Strongest🔥,8000041,1473975,51,30
51,#2JVL8CYCC,HouseeSport🇮🇹,8000029,1468840,52,30
52,#9JPQ0JQR,Adulti Stars,8000006,1466923,53,30
53,#289VURJ2G,🕋Golden Lions,8000049,1457395,54,30
54,#2C82RVU0C,TRD|PinguGang🐧,8000039,1450880,55,30
55,#2CP2U8VR8,Wasted🥱,8000008,1447170,56,27
56,#29LYG20GU,❄️ARTIC❄️,8000057,1446048,57,30
57,#2C8GCG829,ChillGaming🍃💤,8000033,1441727,58,29
58,#2C9LGQY8G,F/A Bellum,8000025,1441153,59,27
59,#29R8PVLQ0,Sen|EsPorts🔥,8000041,1440093,60,30
60,#2JUJYUJU9,🌸|Esports,8000010,1439415,61,29
61,#2CPL02VC2,CσɱҽBαƈƙ ✘,8000049,1439124,62,30
62,#2JQV0VGQR,|GX|legenda,8000037,1438866,63,29
63,#2C9JQ0GG0,Madagascar🐧,8000025,1435538,64,30
64,#2PQ09RGGR,TeamFerre,8000035,1432923,65,30
65,#2GUJGJ80R,I Bravi,8000021,1428666,66,30
66,#22L9V9VGU,El Ropero,8000025,1426638,67,30
67,#2G88JRJ0C,SnowStorm,8000053,1418296,68,28
68,#2JJ0P0RQ8,God Esports,8000037,1416537,69,30
69,#8J8G2Q9U,Inception,8000037,1414495,70,30
70,#2J00P2CCL,⛩️T.S.E|Teamシ︎,8000041,1413574,71,30
71,#2R2RLRYVQ,attivi for ever,8000015,1412680,72,30
72,#2C9RG2CPG,ɪꜱʟᴀ♢ʍᴏʀᴀ,8000008,1411238,73,30
73,#2CRJLPLUR,Series Academy,8000003,1408614,74,30
74,#29PUJ0UPJ,LewissHouse,8000007,1406309,75,29
75,#202LGU2UP,EAGLES OF LIGHT,8000027,1403675,76,30
76,#VQGYYJPC,AMICI,8000057,1403234,77,30
77,#2UGRLGRL,Crazy Troffa,8000009,1397816,78,30
78,#2PRQ28,The Powners,8000037,1384557,79,29
79,#2C8JPUYJP,Dead Opps,8000004,1381432,80,28
80,#2JVYCPGUU,SF,8000021,1381061,81,29
81,#QQYPUPGQ,I BOMBER 2,8000020,1380629,82,30
82,#2QLGUC0LJ,Forever™,8000055,1379661,83,30
83,#2G08QYLU8,RG•Gaming🎶,8000029,1378600,84,30
84,#29PGJ09CC,Eʟɪᴛᴇ Wᴀʀʀɪᴏʀꜱ,8000002,1376256,85,30
85,#29JYY2VUU,F𝔘S̸ᴉΩΠ | ℤΞ℞Ø,8000041,1374960,86,30
86,#2CRJ929L2,TEAM BATTISTA,8000037,1372030,87,30
87,#2GVLY299C,NASTY & GREEDY,8000006,1369952,88,30
88,#9UGRYQ2Q,._.,8000021,1365556,89,30
89,#2GG9LJ20U,Old Wild Men 2,8000059,1364812,90,30
90,#29CPR9829,Young Falcons,8000055,1363722,91,29
91,#2JC989LVV,Spin Legends,8000007,1362354,92,27
92,#2PVYRYRLU,SENZARITORNO,8000017,1361681,93,30
93,#VVL92JGU,ITA lianissimi*,8000007,1361068,94,30
94,#2C8PCYVPV,Extrem Team,8000011,1360103,95,30
95,#29RRRC9UP,AFGMela 2,8000037,1358379,96,29
96,#UQCQ88Y0,×Gambero•Blu×,8000000,1355063,97,30
97,#2Y9R29J0U,SENZAFRONTIERE,8000032,1354770,98,30
98,#299GLR8G0,A Few TTM Men,8000027,1349647,99,30
99,#9JYPC0GJ,ASTRON Pegasus,8000021,1349111,100,30
100,#PRJR9YGQ,DarkDemon,8000050,1348063,101,30
101,#2JYVPYRCV,CacaoGang🇨🇲,8000027,1348018,102,29
102,#2RPRJQV0J,Drill Esports,8000029,1347969,103,28
103,#29UYLRJV0,Experience IT,8000021,1347911,104,29
104,#20JY8Q9UY,TOP Italia GG,8000036,1347660,105,30
105,#Q2G8VLPY,sy Team,8000023,1342846,106,30
106,#2CYQ98C2U,TEAM OMEGA,8000035,1342235,107,29
107,#CRJRLPJY,Vox|Gaming,8000023,1337296,108,29
108,#290U2L9Q2,SVG,8000023,1333029,109,29
109,#2JUJ9YUY9,eSport Palà™😡,8000021,1330995,110,28
110,#2QCLU8LVY,Ignorant Nerd,8000041,1330383,111,29
111,#QJ90R9V0,Dark Genesis 🥱,8000011,1327730,112,29
112,#22PUUYCPG,Italian Friends,8000018,1327634,113,29
113,#2GJ2JYUPR,ASTRON Pavo,8000014,1326615,114,30
114,#2C29CR2UU,asyro sottaceto,8000053,1325570,115,30
115,#RPJ9Q0RU,ASTRON Sagitta,8000027,1323787,116,29
116,#2C0PRRY8C,Italy King,8000023,1322044,117,30
117,#28Y8CPRJG,Do Not Disturb,8000000,1321927,118,30
118,#L0JUPL8G,ACCADEMY +2,8000025,1318213,119,30
119,#2PJRJG0PR,QLASH Italy 3,8000021,1317999,120,30
120,#CVGUGPUR,⭐STARS POWERS⭐,8000018,1315685,121,29
121,#299PP99CQ,Number One™️,8000021,1311322,122,29
122,#VVCVYYGP,❤L o v e❤,8000037,1311222,123,30
123,#2YYY8JL0P,TOP ITALY CLUB,8000037,1309353,124,29
124,#2CYV8YRY9,AM eSports ☄️,8000028,1308251,125,30
125,#VC9V9G0U,MEGUSTALAMISTA,8000013,1306947,126,30
126,#2C0Q0LQUU,Astron Cube™️,8000021,1306675,127,30
127,#GGLQUCY9,THE BRAWL KING,8000023,1305794,128,30
128,#2C9ULLYVR,RL|Smart 🧠,8000025,1305255,129,30
129,#L0YRQ2Y2,winner forever,8000029,1304400,130,29
130,#2CYJVQQYC,ITALY,8000055,1304066,131,29
131,#2GGJ0CQ00,Purple Gods,8000041,1299326,132,30
132,#2C8GLPCL9,Dark Reaperz,8000037,1297842,133,29
133,#9QJL0QY2,ITA Marri,8000037,1295788,134,30
134,#2G82U90VJ,Hyper Ultimate,8000059,1294135,135,30
135,#2G992VRQ0,I brodis,8000037,1293498,136,29
136,#28J228U02,rompo,8000046,1293109,137,30
137,#2QVV8JPRG,👑ITALY KINGS👑,8000029,1293047,138,30
138,#Y9GJ20,ganja mania,8000017,1291645,139,30
139,#9VJQ2RGU,ASTRON Crux,8000014,1290369,140,30
140,#29LPV9808,QLASH Italy 6,8000021,1289946,141,30
141,#20LVU9P8V,OldStars Osiris,8000052,1289643,142,30
142,#VGPYV0QQ,Angurie,8000035,1288490,143,30
143,#LLLLYVV,sghenez,8000059,1287860,144,30
144,#2PLYPGCVR,The Kings,8000055,1285711,145,30
145,#2CJPY9R98,Italy❤️‍🩹DUO👿,8000037,1285542,146,28
146,#29UJ9VVLL,Crazy eSports,8000045,1285295,147,30
147,#2YJUVC9R8,Diamanti🇮🇹,8000021,1283819,148,30
148,#QCLY2P,italia,8000006,1283814,149,30
149,#29C8J29G8,Dead Opps II,8000004,1283444,150,30
150,#2C2CPYJ8J,Elite Gaming,8000027,1282863,151,30
151,#2JY9CGL8Y,VekTribe,8000014,1278249,152,30
152,#2G2LQV8P9,team RSN,8000029,1275857,153,30
153,#29CJ8CR80,I Testa Corta,8000017,1275715,154,30
154,#V0JGUQY2,YT ITALIA 2,8000003,1273064,155,30
155,#2YV2CU8JP,I MIGLIORI,8000013,1269473,156,29
156,#CPULCL99,Black Ops ITA,8000052,1267491,157,30
157,#R0P82YG,Brawler Adulti,8000004,1266770,158,30
158,#2CR0YP8JP,Dark Chimikal,8000053,1266586,159,29
159,#2C0VJVV9J,ST|eSports,8000021,1261393,160,29
160,#2C9PVLJGU,PHX|PHOENIX™,8000037,1260456,161,30
161,#GY09JQ0R,TEAM SANSON,8000029,1260237,162,30
162,#2G8YJU8Q9,BST| eSports🐉,8000033,1257370,163,29
163,#2JVLCLVJG,Play’n’Chill,8000019,1256788,164,29
164,#2JLRPRY2C,i draghetti👑,8000029,1255000,165,30
165,#2J2VPPP9U,I Boccilla,8000036,1253546,166,30
166,#2CP0Q98QL,Fire eSports,8000023,1253221,167,26
167,#2R2PRQP82,ThreeRandoms,8000033,1253107,168,30
168,#LUGC9P9C,🔥FENICE🔥ITA 2,8000037,1251536,169,30
169,#2L2JJ90G,S. Oakmont,8000023,1251219,170,30
170,#2GGV8VCVQ,TP UNITY,8000000,1250530,171,30
171,#99YJ08L,Palermo,8000025,1250189,172,30
172,#2CP0QYYCJ,Wake Up🥱,8000039,1249697,173,28
173,#2GRQ22UU8,MikeyMouse,8000004,1248904,174,30
174,#LQ2YGLVP,ITALYWAR X⚡,8000019,1245824,175,30
175,#2988QULC8,TeamFerre II,8000023,1245604,176,30
176,#2RPJPRJQP,i tozzi 2,8000027,1243844,177,30
177,#9RQY0QJ2,ITA,8000037,1242236,178,30
178,#990QLR82,Serpents™,8000015,1238479,179,30
179,#2PYQQGYCG,4SUN,8000049,1237961,180,30
180,#9LQQPVC9,ASTRON Aries,8000027,1237806,181,29
181,#2C8G20299,🕷️Dark🍷™️,8000025,1235446,182,30
182,#299L9L00,SHISH DESTROYER,8000003,1234641,183,30
183,#2CLGGYR0V,trolling,8000020,1234623,184,30
184,#2JVY8L9U0,🍕PIZZA 🍕,8000019,1234388,185,30
185,#2JUJUQ0GG,Turtle🐢,8000002,1233170,186,27
186,#29L90L2LR,Super Earth™🌍,8000052,1232993,187,30
187,#2LLRQQYLJ,Favorita,8000031,1231579,188,30
188,#2RGGCCY2J,Joystick J!ts,8000037,1230997,189,30
189,#2G9RYVJ28,BX team◇,8000043,1230580,190,30
190,#280P29PYR,Team Astral,8000002,1229796,191,30
191,#200PRP8CP,ITALY 🇮🇹🇮🇹,8000059,1227998,192,30
192,#2JLYRYQCC,Golden Artic,8000033,1227152,193,30
193,#220G0QQ8,200 Spartani,8000023,1225613,194,30
194,#2QYVYJ2C9,Crow crew,8000016,1225579,195,30
195,#2GJLRPGUG,Top Ita,8000029,1221937,196,30
196,#290UUP2CJ,BlackDragon,8000027,1221828,197,29
197,#90892QR0,Dio Clan,8000019,1221624,198,30
