,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4038986,1,30
1,#2JCRP8898,レインボーの風船,8000047,1902432,2,29
2,#2JVJCCQ22,「一番よりNo.2」,8000057,1892577,3,30
3,#2JRPJ8P8C,Venus,8000003,1859192,4,28
4,#2CY2CUYPR,REX💫,8000023,1769491,5,30
5,#2QVLUVUVR,ラーメン好きなルー🍜,8000057,1727757,6,30
6,#2CJLYUUCV,めろんぱん食堂,8000013,1725186,7,30
7,#28CVJQ2GP,REVIVE,8000052,1689192,8,30
8,#29YL8YPY2,Excellent🏆,8000046,1688037,9,30
9,#29QP88L99,👼👼caelum🌈🌈,8000055,1658744,10,30
10,#2RYC0U9V0,ゴロ寝帝国,8000031,1639699,11,29
11,#2QQGR2RC8,テストが嫌いな人の集い,8000047,1637241,12,29
12,#CQUQCR2R,ずっと昼間でいいのに,8000018,1633575,13,30
13,#88V0JYY,胡麻味噌マヨ,8000025,1617550,14,30
14,#QCCYPJQ0,✌️✌️✌️,8000018,1595538,15,30
15,#VRP2ULRC,🔥Blaze Soul🔥,8000037,1594877,16,30
16,#2C9002R8J,G-boys,8000029,1587999,17,29
17,#2RU9VJ289,terror house,8000002,1562725,18,30
18,#UPY9YUUU,REVIVE支部,8000052,1562707,19,30
19,#QLQG2CL2,何を四天王の集い,8000047,1561155,20,30
20,#2C9QRG0L8,三つのラビリース,8000057,1557667,21,30
21,#22L2QCGU2,エメハン大学,8000025,1556412,22,29
22,#2QJVR2Q0G,🦠🦠🦠,8000012,1552253,23,30
23,#29L0YGCJU,コーナーで差をつけろ！,8000019,1540913,24,28
24,#2CR2G2LJV,𝓘𝐥𝐨𝐧ଈ𝓜𝐚𝐧,8000037,1521657,25,30
25,#PQYUUC80,オーシャンズビュー,8000000,1505306,26,30
26,#2RPL908RU,crescent,8000051,1493039,27,29
27,#RCV8JLRQ,MS〆みんなはいってー,8000059,1489528,28,30
28,#22GGGRGGC,ザベスじゃなくてエリザ,8000043,1489232,29,30
29,#2J9QYQ20R,一撃必殺おにゃんこ,8000047,1487788,30,30
30,#2JRC908G0,future,8000021,1480484,31,30
31,#899QJ8,ワンダーランド,8000025,1477942,32,28
32,#QQR99C9J,ブロスタの戸締まり,8000039,1474320,33,28
33,#28R2CV22Q,moumoon,8000043,1460618,34,30
34,#2R8CQRPQJ,数え役満🀄️,8000007,1459707,35,30
35,#2J8909L8C,パワリ大好きっ子ちゃん,8000001,1459340,36,30
36,#2RUP0V9LC,Xero,8000003,1456508,37,30
37,#2Q98PV989,サンテック,8000005,1448927,38,29
38,#2CLVPQYJ0,T-ZONE,8000001,1446932,39,30
39,#2G90QQJ8P,ぼっち,8000023,1438701,40,30
40,#29LUQYGQC,😈生まれながらのワル😈,8000023,1436841,41,30
41,#2JJC9VQ02,デビルカンパニー,8000057,1435389,42,28
42,#20JC2U8U,ユーロ,8000018,1434104,43,30
43,#2RYUVL9L9,バトロワを極めろ！,8000053,1431579,44,30
44,#2GGL2RVY0,DUO LOVEღ,8000039,1429692,45,29
45,#2J2QVR0LP,三度の飯より煽りが好き,8000031,1427958,46,30
46,#2GGLR2C28,ブロストライカーしか勝たん,8000029,1420202,47,30
47,#2RGL000PC,ブロスタファイトクラブ,8000004,1419630,48,30
48,#2QQ8V0VY9,はなかもめ,8000046,1417566,49,29
49,#2LPQ0RYCL,Escape The Weak,8000057,1415694,50,30
50,#2Q88CP89L,めいさんの弟子,8000014,1403973,51,30
51,#2GGR8RC89,リーグenjoy勢,8000043,1402516,52,30
52,#29PG9R28C,夜はここから,8000055,1399271,53,28
53,#QPVLGJG0,牙城,8000055,1392048,54,30
54,#LU8V2UCG,❁一本桜❁ 彩,8000054,1390197,55,27
55,#2RLJ8V20Y,ｓｔａｒｔ🧚‍♀️,8000021,1388454,56,30
56,#29Y2JCLYJ,あてぃしのこと好きすぎ―！❤️,8000039,1387886,57,29
57,#VL2YUU0,Desires,8000025,1386333,58,30
58,#2GVYYLUJJ,∞黄金のたまご∞ ♠️,8000047,1383817,59,30
59,#2G09RQUCY,.*･ﾟ義.ﾟ･*.,8000049,1383701,60,30
60,#J2RG2JL,ＭＩＸ,8000043,1383297,61,30
61,#2G0LPGCLG,ゲイリーズ,8000029,1382767,62,30
62,#2CLLVLQYP,わんぱく広場,8000014,1382576,63,30
63,#VVJG2928,NWM's🐒✨,8000039,1378063,64,30
64,#2GU2YL0RG,社会人まったり部屋ブロスタ本社,8000009,1371515,65,29
65,#2LJYL09GQ,V Line💫,8000028,1369686,66,30
66,#VUCJLQCC,Black Goat,8000025,1367430,67,30
67,#2R89Q20P9,Cipher Pol,8000039,1362820,68,30
68,#2J0Q2YRLQ,まったり赤盾目指す！主サッカー,8000050,1359125,69,30
69,#2GQ2908U8,三ツ矢サイダーPOP,8000055,1358929,70,30
70,#28V8J098P,The Battle Cat,8000050,1354688,71,30
71,#GVUY9PVQ,サッカー研究室,8000010,1353867,72,30
72,#QUC8RPPP,未来を突き進め 本部,8000002,1353379,73,26
73,#2L9G82C0Q,チキンフロンティア,8000050,1349543,74,30
74,#2RJ8YU2JP,日本人,8000000,1347117,75,30
75,#2PR992JJY,野犬ハート,8000029,1342013,76,28
76,#2QLLCYUL2,クラリのお家,8000037,1341715,77,30
77,#288Q8L008,おっす！オラ！悟空,8000023,1341184,78,30
78,#QQQRLLPG,プリモ同盟,8000035,1340748,79,30
79,#UJVLJUG2,駆け出しのクラブ,8000029,1337661,80,30
80,#2GPG0LL89,中島おめでとう🎊🎊,8000045,1334827,81,28
81,#2C280QUY9,誰でも大歓迎！,8000059,1333623,82,28
82,#Y0JPVP2C,猫さん本舗,8000006,1332288,83,30
83,#28V9CU9JQ,コユビ〜ズ,8000019,1328448,84,30
84,#QG2J8UQ0,まじで入ってきて,8000000,1326360,85,30
85,#2LRVCUP0P,Enjoy Japan,8000059,1325723,86,30
86,#28P9UP20V,Traitors Den❦,8000057,1325084,87,30
87,#2GP0QLU2U,<c0>UV❦専門学校</c>,8000056,1322368,88,30
88,#2JL2PLP08,クラブコイン荒稼ぎ,8000039,1319261,89,30
89,#PPY8CPRJ,Noah's ark,8000039,1317441,90,30
90,#22R2R8YCR,新ブロスタの里,8000014,1317147,91,30
91,#2RJRYVYU9,CrazyBee,8000003,1316533,92,30
92,#2JRJJYCLU,ブイブイ,8000033,1313817,93,30
93,#8089RRV2,僕らのブロスタアカデミア,8000018,1308187,94,30
94,#2JLLQ2V90,🍀クローバー🍀,8000043,1305366,95,30
95,#2GGC92C22,さんこいち,8000039,1304117,96,30
96,#9PG8V02R,The Monster魂,8000041,1303035,97,30
97,#2RQ0P29R8,みんなの仲間,8000006,1302927,98,30
98,#2YCPUCLY,OMMC,8000007,1300247,99,30
99,#2R290LG9U,ビタミン炭酸MATCH,8000033,1297625,100,30
100,#CJ9GGYYL,インキャやめな,8000029,1297548,101,28
101,#2JRPY0QC8,ゴンドラ組,8000037,1293991,102,30
102,#2888GPQ0C,最強,8000059,1293358,103,30
103,#2092JRVQ2,生茶を愛する者,8000043,1293194,104,30
104,#229Y8U82U,ダイナマイク3tion,8000041,1291256,105,30
105,#L8P92P8L,クラブリーグガチ熱❗❗,8000057,1290778,106,30
106,#89ULVCC8,ブロスタバグ調査団@育成部,8000031,1290302,107,30
107,#2R0PYPJ92,我らがチョコミン党🌱,8000053,1289782,108,30
108,#22QCCRCJL,猫背をなおし隊,8000023,1289392,109,30
109,#2J8QJCCG8,うへ,8000048,1289110,110,30
110,#QG9G02UU,Crazy op🫠,8000056,1288683,111,30
111,#VG808JVY,赤盾作ろう,8000023,1287061,112,29
112,#28QCCLL89,私立三田学園　科学部,8000055,1285929,113,30
113,#2RUPLCCYJ,えっ？此処ってユートピア？,8000052,1285379,114,30
114,#L2PLP8,札幌ブロスタ,8000027,1284683,115,30
115,#Y99LRLVC,浦飯家,8000057,1284399,116,30
116,#20UCGCR80,JAPANESE TARAKO,8000023,1283822,117,30
117,#28YU880VJ,おなかすいたなぁ,8000035,1282692,118,30
118,#2C889U2UQ,clover,8000012,1279852,119,28
119,#29P0UP9U9,RAD,8000049,1279602,120,30
120,#2YVQGPL8V,フィットイージー,8000029,1278872,121,30
121,#2Y88UP9LV,紺盾達成できない人の集まり,8000057,1278148,122,30
122,#UJV9UPL0,わしかて生きてる。,8000014,1278059,123,30
123,#2C9UJ9PQV,⭐︎亀まんまんクラス⭐︎,8000008,1277602,124,30
124,#2C2PPLYQ9,ブロスタ女子♂,8000025,1275520,125,30
125,#2Q8PY9LG9,あの日見た君の顔,8000016,1273041,126,30
126,#28G099UJ2,xx暗黒の騎士団xx,8000055,1272623,127,30
127,#2PYGYC80J,ぴーなっつと愉快な仲間達,8000005,1270752,128,30
128,#2P890GLRJ,新生　MA:夢羽の家　改,8000057,1269607,129,30
129,#2JVJGCRVQ,バトロワ勢＠カモンヌ,8000023,1269094,130,30
130,#Q82P9UCJ,infinite,8000029,1268885,131,30
131,#GVQJPP2C,アットホーム(量より質),8000018,1268454,132,30
132,#29VQRC88L,爆弾おじさん,8000034,1268100,133,29
133,#8U2C89UU,THE・夜ふかし,8000010,1267475,134,30
134,#2990U882C,マルチＢ,8000048,1266621,135,30
