,tag,name,badgeId,trophies,rank,memberCount
0,#289C80GLV,<c3>ÉLITE</c>,8000027,1872555,1,30
1,#2RGG8288J,Miracle,8000018,1867100,2,30
2,#292PGG0JR,Tocxa,8000006,1840848,3,30
3,#PL0G8R0,백화,8000035,1812773,4,30
4,#2C0CQ098U,🌟happy star🌟,8000018,1808320,5,30
5,#2GRJQPGJY,꽃가족💓#1,8000018,1797994,6,30
6,#292QJVG22,홀릿군단,8000029,1790028,7,30
7,#Q920J8PU,Assemble,8000037,1704308,8,30
8,#2CJ88QV90,Thumbs Up🤗,8000027,1672089,9,30
9,#C80002PP,choa,8000041,1671923,10,30
10,#29RPG8QRU,Illusion Gaming,8000057,1671457,11,30
11,#290LYR99Y,임포스터,8000059,1658462,12,28
12,#2JRYU9YU2,KOR|JC-LEAGUE,8000040,1643188,13,29
13,#2YLR00LJG,Korea 군단,8000018,1636238,14,29
14,#2C82VPGLY,mango Korea,8000049,1631990,15,30
15,#2RPQC9VJC,Respect,8000037,1631708,16,30
16,#2J98RJGCQ,곰새마리,8000018,1615892,17,30
17,#2CYY09GCP,BlackLight,8000018,1593675,18,28
18,#2J8V0LJ9L,IMPACT,8000059,1579336,19,30
19,#2JV8JRCR2,AIMGOD,8000040,1576946,20,29
20,#228U8YPVL,싹쓰리,8000035,1570712,21,30
21,#2CJPL92PP,Toxic,8000034,1568388,22,30
22,#2CRQQJVJQ,Power L.g,8000036,1568029,23,28
23,#29R0JGQRQ,korea,8000029,1558934,24,29
24,#290JQPVJ2,<c1>BBOBBY</c>,8000047,1553963,25,30
25,#2CR8PJR9R,<c3>Forest↟</c>,8000013,1549659,26,30
26,#2LVGGY0UP,스튜,8000003,1547057,27,30
27,#29CL2R90,영감,8000029,1545326,28,30
28,#2CPV989P2,<c5>LUCID</c>,8000033,1542344,29,29
29,#UPG8LL0P,KLT 챔피언십,8000055,1535717,30,28
30,#2YPQPLGVY,Amigos🐳,8000021,1529642,31,30
31,#28J0L89QP,💠🔸dg💠🔸↔🔹🌟,8000057,1528789,32,30
32,#2Q0JYJRQ0,Forever,8000050,1526097,33,30
33,#2QJ2V89CY,Miracle 2기,8000018,1522748,34,29
34,#2GVRGJLCY,꽃가족💓#2,8000018,1515473,35,30
35,#2R2G9292Q,서포터 Support,8000011,1499368,36,30
36,#28U8LC9VJ,사탄:Satan,8000037,1493013,37,30
37,#280V8JU9Y,🖤XOXO🖤,8000025,1485741,38,30
38,#2CPJP9YJ2,inspirit,8000034,1484678,39,29
39,#QRVYUYP0,ROLL OUT,8000034,1481606,40,30
40,#88PUUUU,Coca Cola Clan,8000018,1478625,41,30
41,#2C909YQC9,LIMIT!,8000019,1475609,42,29
42,#2QJ0G8R9V,냥냥놀이터,8000054,1472926,43,30
43,#2Y200G2VC,<c8>Pandora</c>,8000010,1467200,44,28
44,#2PLV00YYQ,❄Frozen Flower❄,8000052,1467157,45,30
45,#2JVLJ9CYJ,with us💫,8000025,1466311,46,30
46,#2RRQLPR02,하얀악마들,8000047,1462789,47,29
47,#2CY2GQY0R,Explosion!,8000056,1456864,48,30
48,#2CR8LQ2LL,Axcot,8000006,1448380,49,29
49,#20YUCGCGY,서포터 Support #2,8000011,1443384,50,30
50,#29GP2CYYY,CROWN KING💛,8000055,1443322,51,30
51,#2YPYLP28U,Legend Corps,8000018,1436200,52,30
52,#8Q0PQLLU,울라라,8000018,1433977,53,30
53,#8LCRGPRP,진주가족,8000056,1433019,54,30
54,#2Q9UVL8CP,ASML KOREA,8000052,1426262,55,30
