,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4026880,1,30
1,#282RJGGGY,WOLFMX,8000016,1984538,2,30
2,#2CLCYL202,Moonlight 🧚🏻,8000052,1833116,3,30
3,#2GU9902G0,家DarkMoon|🖤,8000055,1775840,4,30
4,#29JRP22G9,HeadShoterZ💣,8000023,1773993,5,30
5,#C09LG8YL,minuta:3,8000035,1752235,6,30
6,#2RCQ9CGQQ,STMN Esports,8000015,1697266,7,29
7,#2GURLVQ29,AT|GALAXY XI,8000010,1696536,8,30
8,#QRVJP92R,Brawl Con Limón,8000039,1670500,9,30
9,#Q8J09VPQ,AxE Gaming,8000027,1670097,10,30
10,#2RGV8QCJR,LEGENDARYS,8000029,1668577,11,29
11,#V9JYGLLG,⚠️₣นєгʑαร єℓἷτє,8000029,1651521,12,29
12,#2QQ99Y0LC,Army Of 300,8000023,1637505,13,30
13,#2GYQG9CJP,Army Of 300 II,8000004,1631906,14,30
14,#2LURCY8YC,Ghøst Søuls I,8000057,1624024,15,30
15,#29PR2C9G9,Zoológico NA,8000018,1596507,16,30
16,#Q892098Y,FWs Club 🌮,8000025,1583672,17,30
17,#2LLP2Y928,BarbaFantastico,8000035,1578176,18,29
18,#CU80YV9J,México Top♡,8000059,1542293,19,29
19,#20R2GLR,Reyes Aztecas,8000013,1526812,20,29
20,#2GCU2Q0UY,Tᴇᴏᴛɪʜᴜᴀᴄᴀɴ,8000037,1515818,21,30
21,#2L0J88PCR,Ghost Souls II,8000057,1513478,22,30
22,#2P9G02Q9Q,GＥＮＥＩRＹＯＤＡＮ🕷️,8000037,1511114,23,30
23,#PCPGLY80,Team Void,8000039,1508650,24,30
24,#CPG0YY2Q,Team Legends,8000007,1491938,25,30
25,#28L9J9YL2,Minuta. inc :3,8000035,1485782,26,30
26,#29R9YRJPJ,Perro salchicha,8000047,1476222,27,30
27,#2JUY9UPVJ,MexicanWarriors,8000003,1475723,28,30
28,#2092UVG8U,MX|MexicanClub,8000059,1474081,29,30
29,#2JUCQLUGQ,Seals Army’,8000002,1464367,30,29
30,#2JJVQP228,Ghost Souls IV,8000057,1448840,31,30
31,#22YVU008L,CGS,8000038,1447804,32,30
32,#2G9CJ0JQ9,TH|Ticks Hawks,8000037,1447186,33,30
33,#228CGYU82,Tᴇɴᴏᴄʜᴛɪᴛʟᴀɴ,8000021,1441298,34,30
34,#290CYRYLP,TB|Team Bull,8000037,1432974,35,29
35,#2RUCRQ908,Black Hearts🖤,8000037,1428934,36,30
36,#2JRLL8PCJ,🍥𝗗eaᴅ𝗦ѳul🍥,8000039,1425394,37,30
37,#2JJ0C8VGP,Tʀᴜᴇ ᴀɴᴅ Fᴀʟsᴇ,8000025,1417798,38,30
38,#28CVY0PJ8,Ghost Souls III,8000057,1408923,39,30
39,#2908QYL9L,ᴘᴜꜱʜ|ᴛᴇᴀᴍ🔥,8000037,1405182,40,29
40,#2RJRLGQUY,Clan #2RJRLGQUY,8000012,1401142,41,30
41,#JRYY89L,Elite Latina,8000049,1399295,42,30
42,#22CJVQG0V,Cocoroch Crew™,8000037,1397626,43,30
43,#20GYPUGUR,Los sin vida 👹,8000041,1389949,44,30
44,#V2QVQLVV,Dragon Slayers,8000029,1386104,45,30
45,#2P0GYPLC,INFINITY BRAWL,8000016,1378586,46,30
46,#2CL2L890V,Black Warriors,8000053,1377267,47,30
47,#28RRYLJC8,ＡＫＡＴＳＵＫＩ,8000037,1374566,48,30
48,#2GJLRVU8U,Ojos De Tara XS,8000057,1370167,49,29
49,#UR8YGR82,下uerzas £lite²,8000029,1369511,50,29
50,#28G2YJL2R,<c5>So</c>So,8000059,1367070,51,30
51,#2CYPRLCGJ,🏝️•BlackMarket,8000023,1364781,52,30
52,#299L2GL8C,Tem oasis,8000053,1357282,53,29
53,#2GL2J8VCJ,下uerzas £lite³,8000029,1354809,54,30
54,#22VQLJGRR,<c4>Rain II</c>,8000003,1353779,55,30
55,#QYP89YVL,immortals-IMM,8000029,1352654,56,30
56,#2CJJYYRGR,ÑañisLovers,8000033,1342409,57,29
57,#20YVYRL00,☢️the warriors☢,8000025,1339437,58,30
58,#28J2R0V98,MX|Mexico 🇲🇽,8000025,1338778,59,30
59,#2QGGGP2LG,GodsOfTheWarMx❤,8000023,1336492,60,29
60,#29QLVYG0Q,You and me 💜,8000041,1328399,61,30
61,#22Y8YY889,GOLDEN TRIO,8000018,1328174,62,29
62,#JR9822J0,MEX I CAN 2.0,8000037,1325507,63,30
63,#2JRJLR8CV,Team Spartan🇲🇽🔥,8000039,1317997,64,30
64,#29R9Q0U0,♧~Miracle~♧,8000018,1316957,65,30
65,#2CJ8CVJJC,FuriaDeChester,8000029,1315315,66,29
66,#2LRPLQLPJ,Infinity One,8000058,1314012,67,30
67,#2LR9JGQG2,AK47-MX,8000029,1309584,68,30
68,#2RU9VVQQ0,BARBA BLANCA🔱,8000021,1309154,69,30
69,#2YJRVQRG8,Osos del Tigre,8000010,1305057,70,30
70,#UGV8L9Q,<c9>RedArmy</c>,8000037,1303147,71,30
71,#2CQ9GUR8Q,ᵀʰᵉᴹᵉˣᶦᶜᵃⁿ,8000013,1302222,72,30
72,#29U8Q9JRP,King's Raid ✨,8000023,1301706,73,30
73,#LJJPP9QV,<c7>EndGame</c>,8000018,1298890,74,30
74,#2GVVYLQQR,⭐OP STARS⭐,8000018,1298876,75,30
75,#2GGU8288P,NOVA I MEXICO,8000018,1297774,76,30
76,#JCQP0CGJ,saltillo,8000009,1297303,77,30
77,#2J8U0RC8P,MX|GÁNSTERS🇲🇽,8000041,1296723,78,28
78,#YUY900,LEGENDARY WAR,8000007,1295820,79,30
79,#PU2LR2RU,Kings Academy,8000025,1292856,80,30
80,#2QGVQ29UV,ALKAEDAS MX,8000006,1292437,81,29
81,#PUYPCYCV,CHILE MX|™,8000049,1292416,82,30
82,#2GYVYRPJP,Ghost Souls V,8000057,1287201,83,29
83,#2QV98LG29,<c6>MONSTER</c>,8000010,1286499,84,29
84,#2J2PGYRYL,THE PLAYERS,8000025,1285155,85,30
85,#2Y20LL0C8,LOS CRACKS BULL,8000041,1283862,86,30
86,#290CUQ2Q2,<c4>Hawks™</c>✨,8000010,1282396,87,30
87,#YRVCLJL0,◥RＥＮＥＧＡＤＯS◤,8000016,1281588,88,30
88,#UPJGGR90,<c3>NOVA MX</c>,8000014,1280035,89,30
89,#UQJ9JJGR,Team Pingü,8000055,1277606,90,30
90,#GLRUULU,MÉXICO,8000013,1277325,91,30
91,#Y2V8QL9,INVICTOS,8000034,1276349,92,30
92,#22UPLR8CC,TeamMéxico,8000034,1275035,93,30
93,#2QU9CJQU0,MX|STORM IMPERI,8000055,1274591,94,30
94,#2QJVRQCU8,•𝕱𝖎𝖌𝖍𝖙🇲🇽,8000055,1273660,95,30
95,#2CYG299VU,TEAM QLS🇲🇽,8000034,1271405,96,30
96,#9C888YCJ,Over Power MX 2,8000007,1271392,97,30
97,#2R8Y282Q2,Espartanos,8000029,1270860,98,30
98,#29GQRUYG9,Lonely 💜s Club,8000025,1267276,99,30
99,#QG2LY9QJ,Neo,8000007,1266565,100,30
100,#2RGV9YRGL,The Spriggan,8000037,1266299,101,30
101,#2C28CRPYL,Magic Gaming 🎱,8000010,1265164,102,30
102,#29UCJQ8V0,los hormigas,8000007,1264106,103,30
103,#2928CUVYC,SaquenmeDeCuba•,8000006,1262466,104,30
104,#2QC8RG88U,Dark King Night,8000023,1261814,105,30
105,#V2J8GQL9,los legendarios,8000053,1260306,106,30
106,#288LYC2L0,super strong💪,8000049,1258923,107,30
107,#2J980P880,🇲🇽MEXITACHI🤙,8000010,1258460,108,30
108,#2JRUUP82C,OverPowerMX,8000007,1257372,109,30
109,#298RU02UQ,爱 Valhalla's 特,8000017,1256836,110,29
110,#2G88PRJQP,LOSMAS BUSCADOS,8000041,1256406,111,30
111,#QCG22U9,Vengadores,8000059,1253923,112,30
112,#Q9RUR0VC,Team LimonSal,8000029,1253147,113,30
113,#2QLCC2CJ9,🦄TMC🦄,8000047,1251899,114,30
114,#2PYV29LJU,§pike |MX|,8000017,1251353,115,30
115,#JC2VPVVU,Alfa Brawl,8000049,1250375,116,30
116,#2RQQURGYR,BrawlGuys,8000034,1250046,117,30
117,#LGJ0U88L,¡TACOLAND!™️,8000017,1248579,118,29
118,#2Q2PL092U,BLACK DEMONS,8000018,1248436,119,30
119,#2YYG2P2JY,「RealArmy」,8000025,1248412,120,30
120,#20GL0CQGU,Berserkers|LA,8000016,1247481,121,30
121,#98YP89VJ,Thirty Hearts,8000057,1244861,122,30
122,#PV98LQLQ,TEAM QUESITO :3,8000047,1244743,123,29
123,#VUQUQ9LR,Team langost🦞,8000059,1242864,124,30
124,#2UP2GRYJ,brothers blood7,8000032,1241681,125,29
125,#2Q2GRL2CV,RelevanT,8000041,1241259,126,30
126,#2JUVLLR0V,╰ＨＳ╯ＳＨＩＺＵＫＡ,8000007,1241194,127,29
127,#2G2VLV9Q2,Bad Randoms Mx,8000031,1239720,128,30
128,#2JQ9988R9,꧁༻ Jäger ༺꧂,8000057,1238888,129,29
129,#2J99QQP80,❤️panvasitos❤️,8000025,1236221,130,30
130,#28GV282QJ,<c9>TV-SCAA</c>,8000057,1235680,131,25
131,#2GLL8L9J0,Harpy Stalks,8000023,1235462,132,30
132,#2R09PQL02,Tiriwitsis,8000013,1235440,133,28
133,#22YLLPQQL,™Storm Mx ⚡,8000011,1235078,134,30
134,#2YR0QGJ,Baile de Mono,8000023,1234341,135,30
135,#2PVVC9C80,🌙Midnight,8000057,1233609,136,30
136,#8GU8800V,🎭error⛄™Mx,8000029,1232209,137,30
137,#2YLPVRYQ9,EduarKlub,8000018,1230751,138,30
138,#R8J2Y0C8,⚜AllStars⚜,8000018,1227578,139,30
139,#2QVGJ2CRG,CGS FAMILY,8000049,1226027,140,30
140,#2GJU28VJ2,✨LUCIÉRNAGAS✨,8000049,1225331,141,30
141,#2GJ909QLJ,ForgottenCrown,8000029,1224827,142,30
142,#28LLQ28CJ,AK| Gaming🕷🌴,8000056,1224394,143,30
143,#8P0CY9QJ,gay,8000025,1223100,144,30
144,#20YQYGVUQ,FamiliaAxos,8000057,1221445,145,30
145,#2LGVL2VJG,Mafia Brawl,8000007,1220757,146,30
146,#YCC8PLJJ,mx team,8000057,1220605,147,30
147,#2PV200JP9,Chivas,8000006,1219828,148,30
148,#2JVLVRYQ9,ClubPenguin🐧,8000008,1219032,149,30
149,#299CCRJLP,✨100✨Ł€G€ŇĐ,8000017,1218417,150,30
150,#9G20YRPG,PROLATINO,8000048,1217481,151,30
151,#28G929U0U,KIM VOM,8000037,1216895,152,30
152,#2GCPR2Q82,LOS MÁSTERS :D,8000034,1216115,153,30
153,#2QLG9JUGC,Club Mayas.💥,8000059,1215784,154,30
154,#VV909C2Y,MXCLI VIBES☀️,8000037,1214912,155,30
155,#JUPVJGQ2,Kings Of Desire,8000008,1214438,156,29
156,#2GJCC009Q,Compas club,8000037,1213969,157,30
157,#2899YJ8U8,MEXICO🇲🇽,8000034,1213949,158,30
158,#CCQP88QG,☠️Shoting Star☠,8000018,1213185,159,30
159,#22CQLQ2GQ,Team Galaxy,8000025,1213129,160,30
160,#PQV9RU22,TACOS AL PASTOR,8000039,1211673,161,30
161,#2RPJ290J0,Pale Machine,8000035,1211667,162,30
162,#8G2029,Star Hunters⚡️,8000010,1211260,163,30
163,#8JCCR8P0,familia estelar,8000010,1210164,164,30
164,#2JRQG20QJ,Dark fun,8000057,1208126,165,30
165,#29099PJP9,Quack 2.0,8000049,1208047,166,30
166,#2PJVPQJP0,León,8000018,1207907,167,30
167,#28P2V89CR,☆Blue Sky☆,8000000,1207775,168,30
168,#228VRRL0Q,Gabino 2.0,8000029,1206959,169,30
169,#2R88CC9LG,Shadow Alliance,8000023,1206916,170,30
170,#2G28J9G8G,FM|BROTHERHOOD,8000023,1205911,171,30
171,#VJVJRQPJ,<c3>DragonS</c>,8000049,1205347,172,30
172,#2GLUP0CL,Orión,8000004,1203299,173,30
173,#2C8CJQGJV,Ghost Souls VI,8000057,1202988,174,30
174,#2YY2PVLP2,TeamPerú🇵🇪,8000006,1202137,175,30
175,#YUP90R0R,Panas🤝,8000029,1201149,176,30
176,#2RQLJJGJQ,MX/AZTECAS,8000023,1200130,177,30
177,#JQV8G0Y,México Lindo,8000057,1197827,178,30
178,#VUVUR8Q2,La Mafia PINGU,8000021,1197685,179,29
179,#PQ9PY08,Pinol,8000018,1197294,180,30
180,#P8G892V,raptor asesino,8000008,1196934,181,30
181,#2QJC2CRJY,MB|TJMX,8000057,1196677,182,30
182,#UVYGRUYR,₪L E Y E N D S₪,8000023,1195836,183,30
183,#2RCVRLYUU,Team Taquitos,8000016,1195778,184,30
184,#2PL0P92V,Los Chiludos,8000026,1195643,185,30
185,#20PCVUY,MEXIPRO,8000035,1195327,186,30
186,#28YJPRPPP,Los Panas,8000039,1192916,187,30
187,#28R8V299J,Hakai Knights,8000041,1192668,188,30
188,#2G80VCPVR,⚔Bara Hunters⚔,8000037,1191671,189,30
189,#V2UJUC90,The Office📝,8000016,1191018,190,30
190,#29PV8PYL0,Maya Destiny,8000004,1189619,191,30
191,#29PQG8Q2V,Jugo De Naranja,8000049,1187795,192,30
192,#2L9PGQ8UC,TT's Origin,8000055,1187533,193,29
