,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4026847,1,30
1,#2PYVQ0LLP,Golden Hills,8000025,2276214,2,30
2,#29P9099G8,Legion One,8000023,1971972,3,30
3,#2C8092QVJ,Nҽɯ Sƚαɠҽ🎖️,8000055,1922055,4,29
4,#20RPY2LUC,Minecraft PE,8000007,1811962,5,30
5,#2LJJJ9LLV,T.Cyberneticos,8000034,1748878,6,30
6,#2C929CGUL,Banda Nocturna,8000036,1740216,7,29
7,#2PRQYLJLL,QLS|FireDyna,8000023,1715037,8,30
8,#2QJP08V8J,Sanfe Stars,8000007,1652201,9,30
9,#2J29YP9CJ,CaféDeMañana,8000029,1637931,10,29
10,#J8Y9LUGL,♣️JO<c2>KER</c>,8000041,1594024,11,30
11,#208QG2P90,INFERNAL LEGACY,8000037,1590296,12,30
12,#PPYYVQV9,ᵀᵉᵃᵐ★IQ★,8000023,1585895,13,28
13,#2CP08288P,Family Barza,8000023,1539096,14,29
14,#VU29RLGQ,Crown Clown,8000059,1533449,15,30
15,#VR89YCLC,ᵀʳᵉᵃˢᵘʳᵉᴷᶦⁿᵍᵈᵒᵐ,8000014,1516685,16,30
16,#29GQPRCYU,OverComingUNV😈,8000025,1493008,17,28
17,#2GQ9VYP9Q,White Lotus,8000059,1479605,18,30
18,#2C082QPC0,MKS Gaming,8000027,1477736,19,30
19,#2JQRJU8C9,ZETA|DIVIZION♥️,8000037,1468583,20,29
20,#2C02R2PYL,"""DA-MARRIOT""",8000029,1462324,21,30
21,#2V8LCYQC,EZ<c2>KlLL</c>,8000037,1456941,22,30
22,#2LRPJQ0CJ,Peru Brawl,8000037,1435004,23,28
23,#CLGJVJG9,clandestino,8000004,1434739,24,30
24,#VVGQ988P,PerúBrawl,8000006,1424999,25,26
25,#28LJC2JUC,<c3>GT</c>PERÚ,8000027,1424242,26,30
26,#Q99YY0J,©LevelUp®,8000037,1420161,27,29
27,#V0YYGP2R,ŪNIVERSUM,8000023,1411003,28,30
28,#VRUU002G,•Nobility•,8000023,1403440,29,29
29,#2CJJPCP0V,Legends Stars,8000018,1402570,30,30
30,#20GYJV9G0,Los FantasmasII,8000035,1401313,31,29
31,#2R8QC900V,Patas de Nita,8000037,1398586,32,30
32,#YRY0GR,PeruTeamPro,8000037,1389673,33,30
33,#2JCL0JGUU,MACS REVIVAL,8000037,1380328,34,30
34,#2QRLQY29C,🐖❤️,8000037,1377591,35,30
35,#2QGQRP9UG,TheBest,8000029,1372821,36,29
36,#2GC88Q2JG,>>Last Hit<<,8000048,1370823,37,28
37,#2CQCYCUVG,A Crew Ready⛄,8000037,1368471,38,29
38,#VJR99J9G,GALAXY OF FIRE,8000004,1360439,39,30
39,#YC9VVCCC,Bebecitos,8000023,1360386,40,30
40,#GRGPGCV,Heno Club,8000053,1358429,41,30
41,#2C2GQJCPY,Secret ~ Club,8000023,1357071,42,25
42,#2JUG2L9L8,JOKER² 🃏,8000041,1347644,43,30
43,#29Q8UCQ08,Peruvian Stars,8000004,1341416,44,30
44,#28YUVLVPQ,HUNTER,8000029,1336398,45,30
45,#2JU0QGY00,Dark ImpErium,8000004,1333497,46,30
46,#LV82GRQQ,StarGaming,8000018,1329980,47,30
47,#2J8URL08J,<c7>Hive. </c>,8000029,1323917,48,27
48,#29JPY0LUQ,LaViejaSchool,8000023,1323438,49,23
49,#P80LUYV8,PERÚ SQUAD PRO,8000037,1322065,50,30
50,#28LGVJ9P2,<c9>RE</c>SURGE,8000037,1318396,51,30
51,#2QCJ9RVQ8,BadboysCrew,8000016,1315657,52,30
52,#2G20GLCJY,Madness Games,8000041,1312195,53,29
53,#YRUVUPLG,Finding Hope💚,8000027,1307719,54,30
54,#2CYPCJLYJ,Kidoyu,8000037,1299258,55,30
55,#2QQJQ028,■THE KILLER■,8000059,1297576,56,30
56,#2Q9Q8CQY0,ImagineDragons✨,8000049,1294063,57,28
57,#2PRCV2QPV,J Mac gang,8000041,1287628,58,30
58,#9CUJL0QL,[_Phobia_],8000031,1283535,59,30
59,#RJCYYPGV,Team unidos,8000009,1282988,60,30
60,#2R0CRGC8J,SuperHéroes⚔️,8000027,1279316,61,30
