,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4042410,1,30
1,#2QG2CV9YV,Edelweiss🐙,8000021,3681977,2,1
2,#29CPP0R9G,Brawl King's,8000055,2188385,3,29
3,#2C0VCC0RC,CONEXIÓN,8000037,2020208,4,30
4,#2CJ92P0GG,TT: niiil_06,8000035,1870190,5,30
5,#2RP2YPQ2G,Paradise🎭,8000041,1836159,6,30
6,#208209Q9G,Brawl Kings,8000055,1801471,7,30
7,#29Q2G20UP,JR|LEGENDS,8000049,1785981,8,30
8,#QLC99CV2,Croquetas4life⚔,8000039,1743391,9,30
9,#2RCRQ2PUQ,QDR 🤷‍♂️SAPE🤷,8000012,1715212,10,30
10,#2GQURGRJ0,LA Temis,8000052,1714647,11,29
11,#2YGRC99R2,TTBRAWLTOP😈,8000006,1704715,12,30
12,#2CP2JYYC8,LA Souls,8000014,1698119,13,30
13,#QPYYCQC,BrawlConQueso,8000049,1692679,14,29
14,#LUJPVJ00,LA Kings,8000027,1684603,15,28
15,#28JPUP98V,TEAM TURTLE🐢,8000027,1668179,16,29
16,#2C8QU2PLC,TS Old Comunity,8000055,1657020,17,30
17,#2GQUUQQC8,LA Hydra,8000039,1655231,18,29
18,#2C8JYCCC9,⚡Pulsar League⚡,8000006,1653361,19,30
19,#2JVJLQ828,Salchicha Team,8000023,1651341,20,28
20,#28C9PQGY8,ToxiC Of SpaiN,8000053,1642103,21,30
21,#2GU9PYQ9G,LA Hades,8000014,1621172,22,29
22,#PLV9UU8G,LA Spain,8000035,1614919,23,30
23,#2JLV8CYY8,Spanish Legends,8000021,1611822,24,29
24,#YUUV2VCY,CrosXX,8000037,1604974,25,29
25,#2CR0P9CG9,DSM Team,8000037,1604784,26,29
26,#222UPCRVP,AFGM GENESIS,8000022,1594714,27,29
27,#2R98JYGUQ,Bicicleta,8000029,1587140,28,30
28,#2Y2Q80LGY,Catalan Kings,8000029,1574079,29,30
29,#2JU0CCVGQ,WZ|SPN|,8000047,1570367,30,30
30,#2CPQPUGQY,Real Warriors,8000027,1568355,31,30
31,#92QR00JP,Universo Veneno,8000022,1565131,32,30
32,#2CY9JGVYC,Seretei,8000037,1561625,33,30
33,#2Q9PRQ9LR,MysticGalaxy,8000025,1560232,34,29
34,#2LYYQPG,PECEROS ARMY,8000006,1555055,35,30
35,#2R2J8GRVU,TEAM LASAÑA 💀,8000008,1553285,36,30
36,#22YJUYJJR,STARS of BRAWL,8000018,1552865,37,29
37,#2CY2Q98Y9,The Brawl Bar,8000049,1551111,38,29
38,#YGVJQ998,LA Stars,8000014,1548582,39,30
39,#8RL2LRPU,Ángel,8000027,1535310,40,30
40,#29QQYVQCG,Antax,8000036,1534339,41,29
41,#2CGQLGRQ9,AG Team,8000021,1530525,42,29
42,#2UVVRP9,Seven Kingdom,8000029,1529529,43,30
43,#2CLVURC02,Spânîsh Mâfîâ,8000023,1529019,44,30
44,#29V9LLJYG,∆Omnipotent2∆,8000021,1526389,45,30
45,#YVJ092C0,Welcome,8000055,1526023,46,29
46,#CGV0GVG2,LA Snow,8000014,1522519,47,29
47,#2JG09PY8P,MBRAWL ESTRELLA,8000052,1515733,48,30
48,#2YVG8QJGU,Modesty OP,8000058,1514821,49,30
49,#8UGRR99,QUIEN MANDA,8000029,1507738,50,28
50,#2GYRGYGU2,TRAKWORTY ZERO,8000045,1506412,51,30
51,#2CPUYLRR9,LA Toxic,8000014,1503881,52,29
52,#2R0UL8P8U,💰JazzyTeam🐲,8000049,1501504,53,29
53,#2QQGLU9R8,Spain4Win,8000053,1498078,54,26
54,#2YRCGGPLJ,Reyes Del Caos,8000023,1497978,55,30
55,#2028LL92Q,MysticGalaxyII,8000025,1494586,56,30
56,#2CGU8UG8U,Bull Chiquito,8000057,1494363,57,30
57,#2CL2JV09P,RosaDeGuadalupe,8000002,1491667,58,30
