,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4026892,1,30
1,#2YYJJV9PC,7 Dwarves,8000018,2210339,2,30
2,#2Y88RGV09,Beyond Champs,8000025,1979638,3,30
3,#2GGCUYR8J,Beyond Kratos,8000027,1951524,4,29
4,#2RRJ8VV2Q,Ash's Club,8000025,1938234,5,30
5,#2C89J2YP0,Beyond Reality,8000023,1840554,6,29
6,#22UCRPPGP,Cryptic,8000025,1827778,7,30
7,#2C0VVY89Q,Beyond Swift,8000055,1827105,8,30
8,#QR80QPGR,Vitrious Legacy,8000003,1799859,9,30
9,#2RJ8JJPQP,The Brawlfather,8000055,1797008,10,30
10,#2C08VLGR9,Beyond Alpha,8000029,1792913,11,27
11,#2022UQ08V,Havoc Echo,8000003,1791397,12,30
12,#2GLP8GCUV,AE Cosmic,8000023,1765619,13,30
13,#2C82UJ8UQ,Beyond Washed,8000055,1755754,14,29
14,#2QC8RGJ2Y,Beyond Fresh,8000021,1752199,15,28
15,#29YUVC2LQ,Loco Pushers,8000055,1733797,16,30
16,#80QPR8CV,Scots,8000008,1718782,17,29
17,#2R092CCRY,Dad Bods 2.0,8000011,1708509,18,30
18,#29URVJURG,Demise 🥀,8000037,1707511,19,30
19,#2GGRJGCL0,SMUC,8000035,1706780,20,30
20,#2C898YPCL,Beyond Mecha,8000021,1688217,21,30
21,#2GR2VQV2U,Humble Grinders,8000052,1671696,22,29
22,#PRJQYCJ,THE CLAN,8000004,1671695,23,30
23,#29CJ92CVV,Radiance,8000059,1659482,24,30
24,#2GJ09Q8VJ,Synergy,8000007,1649237,25,28
25,#2LGJUQ99V,Beyond Roses,8000058,1638903,26,30
26,#29YYULUUQ,blasphemy,8000023,1634316,27,30
27,#2C9JPP28L,Real Ones,8000025,1595879,28,30
28,#2CJ98Y9LV,🌘MoonSlayerZ🐉,8000029,1595722,29,30
29,#QCGV8PG,Cactus Bandits,8000013,1591782,30,30
30,#2Y2VJRCLG,CCCC,8000004,1589718,31,30
31,#2CP92Y0PP,anomaly,8000052,1588724,32,29
32,#2JRQP0VQC,Shydrosphere,8000057,1587126,33,29
33,#2GJ2Y2L0G,Dredd,8000037,1586898,34,30
34,#2QVQ8Y2,Steady Brawling,8000003,1582184,35,30
35,#2R8PY2RJV,MM | On Top,8000029,1581118,36,30
36,#2JQV99802,Distant Legends,8000029,1579727,37,30
37,#YJ9UQQLP,Allied Exiles,8000039,1567981,38,30
38,#29R82CVCR,Beyond Dogs,8000023,1564738,39,30
39,#9P0LVR2,Super Troopers,8000019,1554796,40,30
40,#2CG9QV088,VLG Cursed🥀,8000045,1550326,41,30
41,#2G9C2V2GG,ChasmacGaming,8000021,1541887,42,29
42,#20GQGQ2CU,GHOSTZ,8000035,1534637,43,29
43,#2J9VU2VGC,A # A PROS,8000041,1523839,44,30
44,#2LUV2C89P,M&L Rebirth,8000050,1516268,45,30
45,#29G0UG8R9,Mystic Earth,8000003,1512950,46,30
46,#280QRU0VL,Alpha Rush,8000014,1508181,47,30
47,#2292PPQGL,SpicyTunaRoll,8000045,1500972,48,30
48,#2C98R98VV,Arctic Blitz,8000056,1498894,49,29
49,#2JC8PV298,Texas,8000021,1497320,50,30
50,#2PUQ00UUR,Chill Brawlers,8000052,1495231,51,30
51,#2PLYCR2PG,B2B|Scorch,8000037,1492146,52,29
52,#29RQUU20P,LEGENDS,8000007,1488734,53,30
53,#JVRQJRQU,7 Angels,8000018,1487025,54,30
54,#2CPVCR2P9,Astral Knights,8000014,1476763,55,30
55,#2QYRCPQR2,Black Obsidian,8000041,1476367,56,30
56,#LP2R0L2Y,-MB-,8000035,1475763,57,29
57,#VPCJ8GUR,BootyGang,8000052,1474322,58,30
58,#2CJQ9LJVQ,Havoc Renzo,8000003,1471063,59,30
59,#VY0002R2,Out of Place,8000031,1464905,60,30
60,#22C9YV0J2,DarkUnWanted👾,8000039,1463720,61,30
61,#PJ8LRCRP,Kiwi Army,8000043,1462704,62,28
62,#2G8PL9YU0,IX Nash,8000025,1459460,63,29
63,#2Q8YR08JG,AE Kraken,8000023,1457800,64,30
64,#2GUV2YQCQ,Sage,8000005,1451138,65,30
65,#2PCJUY09Y,BS LEGENDS,8000023,1450303,66,30
66,#22CQ9V2LY,Frostfall,8000021,1449595,67,30
67,#2JRQQUC8G,Eternal Esports,8000015,1447099,68,30
68,#2JR0PPPJY,Cryptic Eclipse,8000029,1446821,69,30
69,#2J222RYRJ,Pristine,8000002,1442979,70,29
70,#2JY2U80V0,Sticky Icky,8000013,1440358,71,30
71,#8LRYYQGP,👑The CEOs👑,8000029,1439114,72,29
72,#UJ9UGU9Q,SouL Ambiance,8000039,1429171,73,30
73,#YY80RLR,Dark Matter,8000041,1425122,74,30
74,#LPYRLQR0,Tribe Alpha,8000023,1421894,75,30
75,#8PG9LGGU,Brawling Bros 1,8000006,1418651,76,29
76,#2C9V8U880,MegaPigEnjoyers,8000051,1415186,77,30
77,#2GP2GRRYP,Morning Dew,8000051,1411928,78,30
78,#2C9RQ8000,Arctic Blast,8000011,1409881,79,30
79,#29L28C8CR,USA|Empire,8000021,1409208,80,30
80,#20Y8YLPYU,Turtle Freeze,8000055,1407964,81,30
81,#2LC90LU90,Endbringers,8000043,1405824,82,30
82,#2GGGQ0PR8,Akatsuki☁️,8000034,1404629,83,30
83,#2L82CPV8P,Tibet Way,8000039,1401909,84,30
84,#2C8GCR9JP,✨All Stars✨,8000018,1398716,85,28
85,#2C0UYUQVL,A<c0>B</c>,8000018,1398138,86,29
86,#VC8R9PYG,The CEOs|II,8000023,1396272,87,30
87,#2R08UQR2C,Unity,8000011,1395884,88,30
88,#2YUL0YPC2,VG SGA,8000056,1395343,89,28
89,#2QR2V0GGV,The best🎩,8000042,1392544,90,30
90,#VCYQ9Y0J,B2B|Inferno,8000037,1392335,91,29
91,#8VP9Y0,Big Hittas,8000008,1389184,92,30
92,#2J0VL0VYJ,Father Time,8000027,1389167,93,29
93,#UQC92CYU,Havoc Delta,8000003,1389114,94,30
94,#2C0VGLLVP,Last Order ♛,8000023,1388035,95,30
95,#8VJQJRJJ,Kidtop,8000059,1385580,96,29
96,#LU0QQC9,WB Group,8000004,1385127,97,30
97,#9UJC98QY,BBall Beasts,8000032,1381669,98,29
98,#LUQPCGUU,win or die,8000055,1381434,99,30
99,#2Q89CU02P,Goob,8000021,1380532,100,30
100,#29GUCU0V2,Remaining Few,8000045,1377225,101,30
101,#2CPJVLCP8,Toxic Randoms,8000058,1375608,102,30
102,#QU9QCJ,Half Baked,8000045,1373992,103,30
103,#VLVVRGP,Prime Apex,8000049,1372587,104,30
104,#2P8L82GYV,Infallible,8000021,1372158,105,30
105,#2RYQRQGQV,Synergy 2,8000007,1370467,106,29
106,#LPLUPLJY,AE Helios,8000023,1370296,107,30
107,#PV8CQG99,Ghost Academy,8000057,1369710,108,30
108,#29Q8VJYPY,Spike lovers 💚,8000030,1369679,109,29
109,#2GRRPGLY9,Trash Bandits,8000013,1367991,110,29
110,#VCLUPQJR,AE Enchant,8000023,1367040,111,30
111,#22GJVYJVP,B2B|Supernova,8000027,1365794,112,30
112,#2RL2CQVGY,Eternal Reign,8000029,1365497,113,30
113,#2GJVY90U0,Monkeys,8000037,1364482,114,30
114,#28UJG80L2,Star Breakers,8000052,1363240,115,30
115,#29UV00C,Wolf Legend,8000027,1356535,116,30
116,#JVYVQPJ8,ELECTRO VALLEY,8000003,1355438,117,30
117,#2C8JYULVL,RS|Toxic,8000008,1351696,118,30
118,#2J0L0R0YG,Fabled Legends,8000014,1350597,119,29
119,#JQVR8LL9,notdogwater,8000021,1350195,120,30
120,#LG0GCL0,Final Bosses,8000008,1349353,121,28
121,#2GU2UY9RQ,Adults Only,8000007,1348377,122,30
122,#2CP0RCY9C,Novacane🤍,8000025,1346066,123,29
123,#2CJ2C9PPG,Beyond Magic,8000014,1343195,124,30
124,#9ULLR98,Battle4Honor,8000004,1343116,125,30
125,#228RG09Q,WolvesOfBrawlSt,8000023,1341761,126,30
126,#20G9P0R,Bay Area,8000004,1340450,127,30
127,#2GY8YY8JP,[HIT] n 🏃‍♂️,8000044,1340109,128,30
128,#2CJU0VYLL,Beyond Astro,8000023,1338979,129,29
129,#20GPYVCG0,IX Omega,8000055,1338619,130,30
130,#2GPV0PL90,Twisted Elite,8000045,1335895,131,30
131,#2QJYCJCL2,Legend,8000025,1335735,132,30
132,#QP0V8LVC,Rebuild Nature,8000013,1334598,133,28
133,#20VQ8LU2,Dad Bods Inc.,8000017,1333926,134,30
134,#2CLJR8,Topshelf Buds,8000027,1331198,135,30
135,#2CLRJUR02,Hereditary,8000055,1331033,136,28
136,#GJU9GCCC,Capital Gaming,8000034,1328732,137,30
137,#JU2Y9L2U,Bot Legends,8000029,1327737,138,30
138,#220VJ2LPU,B2B|Vitality,8000027,1325462,139,30
139,#2CLG0VUR8,Daddy’s Kittens,8000023,1324734,140,30
140,#9PUC2C,ToTheStars!,8000018,1322266,141,30
141,#2C028V08U,IX Legends,8000015,1321897,142,30
142,#J8CC8L98,GSO Phoenix,8000008,1320672,143,30
