,tag,name,badgeId,trophies,rank,memberCount
0,#2YYJJV9PC,7 Dwarves,8000018,2210344,1,30
1,#2GUU9908V,BC*|Family*,8000023,2196809,2,30
2,#29CPP0R9G,Brawl King's,8000055,2188385,3,29
3,#2RVVLYR0G,Ex0tic-E-Sport,8000030,2157842,4,30
4,#2C0GL8J0U,🧀MUSSARELOS✨,8000046,2062440,5,30
5,#2GYQLVJPV,★the Players★,8000049,2055003,6,30
6,#29U82J9YP,Kings United,8000055,2036087,7,30
7,#2C0VCC0RC,CONEXIÓN,8000037,2020208,8,30
8,#29CJUG0JJ,LA Global,8000027,1985309,9,30
9,#282RJGGGY,WOLFMX,8000016,1984538,10,30
10,#29GUYV2CJ,AFGMela,8000037,1981751,11,30
11,#2Y88RGV09,Beyond Champs,8000025,1979626,12,30
12,#2GY0QJP88,Quant ESports🐾,8000023,1967117,13,29
13,#208UU822P,A Few Good Men,8000023,1962776,14,30
14,#2GYPJQ82C,<c5>Just Us</c>,8000053,1955256,15,30
15,#2GGCUYR8J,Beyond Kratos,8000027,1951524,16,29
16,#2RRJ8VV2Q,Ash's Club,8000025,1938234,17,30
17,#2JCRVU8QR,vMoove,8000053,1936749,18,28
18,#2VGVCR,tontonflingueur,8000022,1936520,19,30
19,#2C8092QVJ,Nҽɯ Sƚαɠҽ🎖️,8000055,1922055,20,29
20,#2JR80PP28,Easy Ltda,8000055,1914186,21,30
21,#28U982,RealDutch,8000029,1914065,22,30
22,#2G98G9CQC,Импрессив,8000045,1903832,23,30
23,#2JCRP8898,レインボーの風船,8000047,1902432,24,29
24,#2RCRUQRP9,Purple Wave,8000041,1901805,25,30
25,#2GCQ9UU8P,NA Friends,8000052,1896890,26,30
26,#2JVJCCQ22,「一番よりNo.2」,8000057,1892577,27,30
27,#2GCUCRQPR,SY Origin,8000003,1890894,28,30
28,#2C2G2GUPJ,No Mercy,8000029,1885750,29,28
29,#UCC29C0Q,TABULA RASA,8000029,1884696,30,30
30,#2YVQYG028,OG Mute,8000003,1880465,31,28
31,#289C80GLV,<c3>ÉLITE</c>,8000027,1872555,32,30
32,#2CJ92P0GG,TT: niiil_06,8000035,1870190,33,30
33,#2JVPJC9G0,Criminal eSport,8000004,1869977,34,29
34,#2RGG8288J,Miracle,8000018,1867100,35,30
35,#29RV9UV98,ᴅᴀɪʟʏ,8000025,1862203,36,29
36,#2C8Q8PUUR,Anteiku☕,8000025,1861658,37,30
37,#2JRPJ8P8C,Venus,8000003,1859192,38,28
