,tag,name,trophies,highestTrophies,highestPowerPlayPoints,expLevel,expPoints,isQualifiedFromChampionshipChallenge,3vs3Victories,soloVictories,duoVictories,bestRoboRumbleTime,bestTimeAsBigBrawler,club_tag,club_name,shelly_power,shelly_rank,shelly_trophies,shelly_highestTrophies,colt_power,colt_rank,colt_trophies,colt_highestTrophies,bull_power,bull_rank,bull_trophies,bull_highestTrophies,brock_power,brock_rank,brock_trophies,brock_highestTrophies,rico_power,rico_rank,rico_trophies,rico_highestTrophies,spike_power,spike_rank,spike_trophies,spike_highestTrophies,barley_power,barley_rank,barley_trophies,barley_highestTrophies,jessie_power,jessie_rank,jessie_trophies,jessie_highestTrophies,nita_power,nita_rank,nita_trophies,nita_highestTrophies,dynamike_power,dynamike_rank,dynamike_trophies,dynamike_highestTrophies,el primo_power,el primo_rank,el primo_trophies,el primo_highestTrophies,mortis_power,mortis_rank,mortis_trophies,mortis_highestTrophies,crow_power,crow_rank,crow_trophies,crow_highestTrophies,poco_power,poco_rank,poco_trophies,poco_highestTrophies,bo_power,bo_rank,bo_trophies,bo_highestTrophies,piper_power,piper_rank,piper_trophies,piper_highestTrophies,pam_power,pam_rank,pam_trophies,pam_highestTrophies,tara_power,tara_rank,tara_trophies,tara_highestTrophies,darryl_power,darryl_rank,darryl_trophies,darryl_highestTrophies,penny_power,penny_rank,penny_trophies,penny_highestTrophies,frank_power,frank_rank,frank_trophies,frank_highestTrophies,gene_power,gene_rank,gene_trophies,gene_highestTrophies,tick_power,tick_rank,tick_trophies,tick_highestTrophies,leon_power,leon_rank,leon_trophies,leon_highestTrophies,rosa_power,rosa_rank,rosa_trophies,rosa_highestTrophies,carl_power,carl_rank,carl_trophies,carl_highestTrophies,bibi_power,bibi_rank,bibi_trophies,bibi_highestTrophies,8-bit_power,8-bit_rank,8-bit_trophies,8-bit_highestTrophies,sandy_power,sandy_rank,sandy_trophies,sandy_highestTrophies,bea_power,bea_rank,bea_trophies,bea_highestTrophies,emz_power,emz_rank,emz_trophies,emz_highestTrophies,mr. p_power,mr. p_rank,mr. p_trophies,mr. p_highestTrophies,max_power,max_rank,max_trophies,max_highestTrophies,jacky_power,jacky_rank,jacky_trophies,jacky_highestTrophies,gale_power,gale_rank,gale_trophies,gale_highestTrophies,nani_power,nani_rank,nani_trophies,nani_highestTrophies,sprout_power,sprout_rank,sprout_trophies,sprout_highestTrophies,surge_power,surge_rank,surge_trophies,surge_highestTrophies,colette_power,colette_rank,colette_trophies,colette_highestTrophies,amber_power,amber_rank,amber_trophies,amber_highestTrophies,lou_power,lou_rank,lou_trophies,lou_highestTrophies,byron_power,byron_rank,byron_trophies,byron_highestTrophies,edgar_power,edgar_rank,edgar_trophies,edgar_highestTrophies,ruffs_power,ruffs_rank,ruffs_trophies,ruffs_highestTrophies,stu_power,stu_rank,stu_trophies,stu_highestTrophies,belle_power,belle_rank,belle_trophies,belle_highestTrophies,squeak_power,squeak_rank,squeak_trophies,squeak_highestTrophies,grom_power,grom_rank,grom_trophies,grom_highestTrophies,buzz_power,buzz_rank,buzz_trophies,buzz_highestTrophies,griff_power,griff_rank,griff_trophies,griff_highestTrophies,ash_power,ash_rank,ash_trophies,ash_highestTrophies,meg_power,meg_rank,meg_trophies,meg_highestTrophies,lola_power,lola_rank,lola_trophies,lola_highestTrophies,fang_power,fang_rank,fang_trophies,fang_highestTrophies,eve_power,eve_rank,eve_trophies,eve_highestTrophies,janet_power,janet_rank,janet_trophies,janet_highestTrophies,bonnie_power,bonnie_rank,bonnie_trophies,bonnie_highestTrophies,otis_power,otis_rank,otis_trophies,otis_highestTrophies,sam_power,sam_rank,sam_trophies,sam_highestTrophies,gus_power,gus_rank,gus_trophies,gus_highestTrophies,buster_power,buster_rank,buster_trophies,buster_highestTrophies,chester_power,chester_rank,chester_trophies,chester_highestTrophies,gray_power,gray_rank,gray_trophies,gray_highestTrophies,mandy_power,mandy_rank,mandy_trophies,mandy_highestTrophies,r-t_power,r-t_rank,r-t_trophies,r-t_highestTrophies,willow_power,willow_rank,willow_trophies,willow_highestTrophies,maisie_power,maisie_rank,maisie_trophies,maisie_highestTrophies,hank_power,hank_rank,hank_trophies,hank_highestTrophies,cordelius_power,cordelius_rank,cordelius_trophies,cordelius_highestTrophies,doug_power,doug_rank,doug_trophies,doug_highestTrophies,pearl_power,pearl_rank,pearl_trophies,pearl_highestTrophies,chuck_power,chuck_rank,chuck_trophies,chuck_highestTrophies,charlie_power,charlie_rank,charlie_trophies,charlie_highestTrophies
0,#VL0GPPJV,Physic Gear 5,101637,101673,472,348,616667,False,47929,774,1048,14,0,#2C8GPU2LR,Eclipse 🌖,11,35,1499,1502,11,35,1400,1400,11,35,1499,1502,11,35,1399,1402,11,35,1332,1353,11,35,1399,1402,11,35,1399,1402,11,35,1401,1401,11,35,1377,1416,11,35,1501,1501,11,35,1500,1500,11,35,1499,1502,11,35,1362,1362,11,35,1401,1401,11,35,1356,1356,11,35,1502,1502,11,35,1401,1401,11,35,1466,1466,11,35,1374,1374,11,35,1341,1341,11,35,1301,1301,11,35,1300,1300,11,35,1301,1301,11,35,1304,1304,11,35,1501,1501,11,35,1302,1302,11,35,1318,1330,11,35,1399,1402,11,35,1499,1501,11,35,1400,1400,11,35,1401,1401,11,35,1302,1302,11,35,1499,1502,11,35,1401,1401,11,35,1350,1350,11,35,1400,1400,11,35,1300,1300,11,35,1401,1401,11,35,1400,1400,11,35,1300,1300,11,35,1499,1501,11,35,1302,1302,11,35,1308,1308,11,35,1300,1309,11,35,1499,1501,11,35,1401,1401,11,35,1301,1304,11,35,1400,1400,11,35,1401,1401,11,35,1499,1501,11,35,1500,1500,11,35,1302,1302,11,35,1302,1302,11,35,1499,1502,11,35,1365,1365,11,35,1302,1302,11,35,1307,1313,11,35,1324,1333,11,35,1499,1502,11,35,1300,1300,11,35,1499,1502,11,35,1302,1305,11,35,1500,1500,11,35,1280,1316,11,35,1401,1401,11,35,1300,1300,11.0,35.0,1500.0,1500.0,11.0,35.0,1402.0,1402.0,11.0,35.0,1500.0,1500.0,11.0,35.0,1303.0,1312.0,11.0,35.0,1401.0,1401.0,11.0,35.0,1350.0,1350.0,11.0,35.0,1502.0,1502.0
1,#JQVQYVY,Code: VTzim 🌑,98602,98626,1280,389,767832,False,60994,2259,3137,20,0,#2C8GPU2LR,Eclipse 🌖,11,35,1456,1465,11,35,1301,1301,11,35,1266,1266,11,35,1300,1306,11,35,1499,1501,11,35,1499,1501,11,35,1314,1329,11,35,1309,1351,11,35,1499,1500,11,35,1422,1422,11,35,1255,1264,11,35,1301,1301,11,35,1250,1266,11,35,1356,1356,11,35,1433,1442,11,35,1499,1502,11,35,1471,1481,11,35,1453,1453,11,35,1251,1252,11,35,1300,1300,11,35,1251,1252,11,35,1301,1301,11,35,1302,1323,11,35,1301,1301,11,35,1501,1501,11,35,1302,1302,11,35,1302,1302,11,35,1499,1501,11,35,1350,1350,11,35,1499,1505,11,35,1480,1480,11,35,1300,1300,11,35,1300,1300,11,35,1401,1401,11,35,1302,1302,11,35,1401,1401,11,35,1301,1316,11,35,1302,1305,11,35,1303,1309,11,35,1300,1300,11,35,1499,1502,11,35,1301,1301,11,35,1301,1301,11,35,1500,1500,11,35,1302,1302,11,35,1300,1342,11,35,1401,1431,11,35,1314,1314,11,35,1251,1251,11,35,1380,1401,11,35,1302,1302,11,35,1251,1251,11,35,1252,1261,11,35,1323,1323,11,35,1300,1300,11,35,1305,1305,11,35,1302,1302,11,35,1302,1302,11,35,1250,1251,11,35,1305,1305,11,35,1396,1396,11,35,1300,1300,11,35,1302,1302,11,35,1302,1302,11,35,1499,1501,11,35,1302,1302,11.0,35.0,1499.0,1502.0,11.0,35.0,1300.0,1300.0,11.0,35.0,1416.0,1446.0,11.0,35.0,1251.0,1254.0,11.0,35.0,1402.0,1402.0,11.0,35.0,1258.0,1279.0,11.0,35.0,1502.0,1502.0
2,#2PGGR8Y9P,🪼,95059,95101,1163,382,742974,False,54020,1473,5167,5,0,#2C9Q9CPGJ,Follow?,11,35,1375,1375,11,35,1278,1302,11,35,1302,1353,11,35,1371,1386,11,35,1219,1251,11,35,1399,1401,11,35,1299,1299,11,35,1254,1269,11,35,1299,1305,11,35,1317,1338,11,35,1300,1300,11,35,1185,1252,11,35,1399,1402,11,35,1308,1308,11,35,1212,1252,11,35,1306,1318,11,35,1299,1302,11,35,1302,1305,11,35,1171,1260,11,35,1206,1251,11,35,1274,1274,11,35,1399,1402,11,35,1201,1250,11,35,1225,1250,11,35,1399,1401,11,35,1300,1300,11,35,1344,1383,11,35,1302,1311,11,35,1399,1402,11,35,1293,1299,11,35,1296,1314,11,35,1206,1250,11,35,1299,1299,11,35,1335,1368,11,35,1399,1404,11,35,1399,1401,11,35,1257,1257,11,35,1299,1299,11,35,1399,1401,11,35,1299,1299,11,35,1399,1402,11,35,1290,1299,11,35,1338,1362,11,35,1299,1299,11,35,1325,1325,11,35,1301,1301,11,35,1243,1267,11,35,1299,1302,11,35,1300,1300,11,35,1300,1300,11,35,1378,1401,11,35,1215,1251,11,35,1300,1300,11,35,1399,1401,11,35,1306,1312,11,35,1301,1301,11,35,1299,1302,11,35,1299,1299,11,35,1399,1401,11,35,1136,1268,11,35,1402,1402,11,35,1219,1251,11,35,1284,1353,11,35,1239,1269,11,35,1254,1302,11,35,1250,1274,11.0,35.0,1399.0,1401.0,11.0,35.0,1251.0,1314.0,11.0,35.0,1399.0,1410.0,11.0,35.0,1245.0,1266.0,11.0,35.0,1400.0,1400.0,11.0,35.0,1203.0,1320.0,11.0,35.0,1263.0,1302.0
3,#VLQPVPY,Naz❤️Hyra,94538,100000,1374,441,985133,False,99094,6013,1944,5,0,#2C9GRLLY9,Fenernazçe 💙💛,11,35,786,1523,11,35,1401,1401,11,35,764,1402,11,35,1399,1402,11,35,1399,1402,11,35,778,1402,11,35,1399,1402,11,35,1399,1402,11,35,1287,1402,11,35,1300,1302,11,35,1390,1401,11,35,1302,1305,11,35,1400,1402,11,35,1399,1402,11,35,1402,1402,11,35,1401,1422,11,35,1402,1402,11,35,1479,1502,11,35,1377,1402,11,35,1300,1302,11,35,1302,1302,11,35,1302,1302,11,35,1401,1401,11,35,1406,1406,11,35,1402,1402,11,35,1402,1402,11,35,1400,1401,11,35,1401,1401,11,35,1504,1504,11,35,1378,1402,11,35,1402,1402,11,35,1302,1302,11,35,1399,1422,11,35,1400,1400,11,35,1402,1402,11,35,1401,1401,11,35,1352,1352,11,35,1400,1401,11,35,1402,1402,11,35,1300,1300,11,35,634,1501,11,35,1402,1402,11,35,1300,1300,11,35,1401,1401,11,35,803,1502,11,35,1401,1401,11,35,1402,1402,11,35,1302,1302,11,35,1324,1400,11,35,1402,1402,11,35,1402,1402,11,35,1402,1402,11,35,1402,1402,11,35,652,1501,11,35,1300,1307,11,35,1300,1401,11,35,1300,1309,11,35,1401,1401,11,35,1406,1406,11,35,1306,1318,11,35,1449,1451,11,35,1402,1402,11,35,1394,1400,11,35,1302,1302,11,35,1504,1504,11,35,1402,1402,11.0,35.0,634.0,1502.0,11.0,35.0,1319.0,1319.0,11.0,35.0,675.0,1502.0,11.0,35.0,1250.0,1250.0,11.0,35.0,1400.0,1400.0,11.0,35.0,1301.0,1301.0,11.0,27.0,842.0,875.0
4,#P9UVCQ2U2,Amazing,94027,94087,934,382,741331,False,22376,3344,18372,20,0,#29G9V08C8,help ranks,11,35,1499,1503,11,35,1303,1303,11,35,1349,1356,11,35,1299,1303,11,35,1207,1267,11,35,1250,1250,11,35,1253,1253,11,35,1251,1256,11,35,1251,1251,11,35,1250,1250,11,35,1299,1301,11,35,1250,1250,11,35,1250,1250,11,35,1250,1250,11,35,1299,1337,11,35,1299,1303,11,35,1258,1280,11,35,1300,1300,11,35,1253,1253,11,35,1251,1251,11,35,1251,1251,11,35,1249,1258,11,35,1250,1251,11,35,1251,1253,11,35,1250,1250,11,35,1349,1366,11,35,1252,1252,11,35,1250,1250,11,35,1251,1253,11,35,1252,1262,11,35,1253,1257,11,35,1250,1250,11,35,1252,1270,11,35,1254,1276,11,35,1253,1253,11,35,1437,1459,11,35,1251,1256,11,35,1242,1264,11,35,1250,1250,11,35,1311,1361,11,35,1399,1412,11,35,1250,1250,11,35,1250,1250,11,35,1261,1279,11,35,1251,1257,11,35,1252,1252,11,35,1251,1251,11,35,1232,1250,11,35,1499,1503,11,35,1253,1253,11,35,1250,1250,11,35,1449,1485,11,35,1303,1303,11,35,1399,1430,11,35,1349,1363,11,35,1299,1300,11,35,1257,1307,11,35,1251,1259,11,35,1338,1350,11,35,1499,1503,11,35,1399,1403,11,35,1252,1252,11,35,1251,1251,11,35,1251,1251,11,35,1252,1252,11,35,1250,1250,11.0,35.0,1399.0,1401.0,11.0,35.0,1249.0,1252.0,11.0,35.0,1299.0,1329.0,11.0,35.0,1250.0,1250.0,11.0,35.0,1299.0,1301.0,11.0,35.0,1298.0,1304.0,11.0,35.0,1307.0,1307.0
5,#VYGVV08Q,🍅domates,93798,93798,856,357,648421,False,14587,8282,15937,9,0,,,11,35,1301,1399,11,35,1403,1403,11,35,1337,1343,11,35,1307,1325,11,35,1311,1311,10,35,1303,1303,11,35,1301,1301,10,35,1302,1302,10,35,1250,1250,11,35,1301,1301,10,35,1301,1301,11,35,1303,1303,11,35,1303,1303,10,35,1252,1252,11,35,1301,1301,10,35,1303,1323,10,35,1250,1250,11,35,1300,1300,10,35,1302,1302,10,35,1300,1300,11,34,1200,1200,11,35,1250,1250,10,34,1200,1200,10,35,1300,1300,10,35,1253,1265,10,35,1303,1303,10,35,1303,1303,11,35,1251,1251,10,35,1253,1269,11,35,1253,1253,11,35,1301,1301,11,35,1301,1301,11,35,1301,1301,10,35,1302,1302,11,35,1303,1303,11,35,1300,1300,10,35,1253,1253,11,35,1303,1303,10,35,1301,1301,10,35,1303,1303,10,35,1250,1254,10,34,1200,1207,10,34,1201,1201,10,35,1300,1300,11,35,1303,1303,11,35,1301,1301,10,35,1253,1253,11,35,1260,1318,11,35,1250,1266,11,35,1300,1300,10,35,1251,1251,11,35,1304,1304,10,35,1302,1302,10,35,1258,1276,11,35,1402,1402,11,35,1323,1323,10,35,1300,1300,11,35,1251,1261,10,35,1276,1284,10,35,1251,1251,11,35,1301,1303,10,35,1300,1300,10,35,1306,1306,10,35,1301,1311,10,35,1251,1263,10,35,1272,1272,10.0,35.0,1431.0,1443.0,10.0,34.0,1200.0,1212.0,10.0,35.0,1301.0,1301.0,11.0,35.0,1251.0,1251.0,11.0,35.0,1301.0,1301.0,10.0,34.0,1182.0,1232.0,10.0,35.0,1300.0,1300.0
6,#8GV2CP2J8,☔ZORLU☔,93529,94255,786,391,775985,False,17623,10314,9827,6,0,#2CJY0U00G,<c0>ＬＯＮＥＬＹ★</c>,11,35,1502,1524,11,35,1253,1271,11,35,1302,1302,11,35,1300,1300,11,35,1253,1253,11,35,1303,1303,11,35,1250,1250,11,35,1301,1301,11,35,1254,1260,11,35,1300,1300,11,35,1300,1300,11,35,1349,1377,11,35,1251,1403,11,35,1251,1251,11,35,1253,1254,11,35,1361,1361,11,35,1301,1303,11,35,1357,1403,11,35,1250,1250,11,35,1301,1301,11,35,1254,1254,11,35,1300,1300,11,35,1250,1250,11,35,1020,1298,11,35,1252,1252,11,35,1303,1303,11,35,1301,1301,11,35,1253,1253,11,35,1250,1250,11,35,1303,1303,11,35,1501,1503,11,35,1300,1300,11,35,1253,1265,11,35,1302,1302,11,35,1230,1270,11,35,1301,1303,11,35,1301,1301,11,35,1301,1301,11,35,1250,1250,11,35,1253,1253,11,35,1303,1303,11,35,1250,1250,11,35,1250,1250,11,35,1251,1251,11,35,1305,1305,11,35,1251,1251,11,35,1252,1252,11,35,1253,1253,11,35,1250,1260,11,35,1253,1253,11,35,1303,1303,11,35,1300,1300,11,35,1301,1301,11,35,1303,1303,11,35,1301,1303,11,35,1300,1300,11,35,1303,1303,11,35,1250,1250,11,35,718,1250,11,35,1501,1501,11,35,1301,1302,11,35,1302,1302,11,35,1301,1301,11,35,1250,1250,11,35,1250,1250,11,35,1251,1251,11.0,35.0,1501.0,1501.0,11.0,35.0,1251.0,1251.0,11.0,35.0,1300.0,1300.0,11.0,35.0,1253.0,1253.0,11.0,35.0,1300.0,1300.0,11.0,35.0,1300.0,1300.0,11.0,35.0,1301.0,1301.0
7,#PYPQUG80,Zava💞Sunfote,90966,90966,597,362,664605,False,9100,8605,13103,5,0,#2L2820Y8U,Showdown💔Kings,11,35,1251,1254,11,35,1251,1251,11,35,1250,1255,11,35,1253,1253,11,35,1250,1250,11,35,1201,1252,11,35,1202,1251,11,35,1250,1253,11,35,1251,1251,11,35,1251,1254,11,35,1251,1253,11,35,1177,1250,11,35,1203,1252,11,35,1200,1252,11,35,1251,1253,11,35,1251,1251,11,35,1253,1257,11,35,1250,1255,11,35,1251,1253,11,35,1251,1251,11,35,1251,1254,11,35,1200,1255,11,35,1251,1252,11,35,1253,1263,11,35,1251,1254,11,35,1250,1257,11,35,1251,1252,11,35,1201,1252,11,35,1251,1252,11,35,1251,1251,11,35,1250,1250,11,35,1250,1252,11,35,1251,1251,11,35,1253,1254,11,35,1254,1254,11,35,1251,1251,11,35,1250,1250,11,35,1251,1251,11,35,1250,1250,11,35,1250,1250,11,35,1200,1250,11,35,1253,1253,11,35,1252,1253,11,35,1251,1254,11,35,1202,1274,11,35,1202,1250,11,35,1200,1257,11,35,1203,1253,11,35,1254,1268,11,35,1250,1250,11,35,1251,1251,11,35,1499,1557,11,35,1250,1250,11,35,1254,1254,11,35,1251,1253,11,35,1250,1278,11,35,1251,1251,11,35,1250,1250,11,35,1250,1250,11,35,1251,1257,11,35,1252,1252,11,35,1251,1253,11,35,1252,1252,11,35,1251,1251,11,35,1252,1252,11,35,1251,1251,11.0,35.0,1251.0,1254.0,11.0,35.0,1253.0,1253.0,11.0,35.0,1251.0,1251.0,11.0,35.0,1252.0,1252.0,11.0,35.0,1252.0,1252.0,11.0,35.0,1252.0,1254.0,11.0,35.0,1254.0,1254.0
8,#8PJRRG2C,SK|GuilleVGX,90807,90825,1386,480,1168678,False,94680,2136,3612,6,0,#2C0VCC0RC,CONEXIÓN,11,35,1250,1302,11,35,1246,1252,11,35,1211,1251,11,35,1282,1306,11,35,1302,1314,11,35,1250,1274,11,35,1269,1269,11,35,1249,1250,11,35,1250,1250,11,35,1252,1253,11,35,1203,1252,11,35,1200,1288,11,35,1251,1251,11,35,1209,1270,11,35,1250,1286,11,35,1249,1308,11,35,1250,1254,11,35,1241,1282,11,35,1202,1252,11,35,1252,1255,11,35,1251,1251,11,35,1252,1254,11,35,1250,1251,11,35,1302,1302,11,35,1251,1251,11,35,1252,1278,11,35,1202,1251,11,35,1252,1254,11,35,1251,1254,11,35,1250,1251,11,35,1251,1254,11,35,1203,1252,11,35,1201,1252,11,35,1218,1264,11,35,1205,1250,11,35,1307,1307,11,35,1224,1255,11,35,1202,1251,11,35,1252,1252,11,35,1250,1252,11,35,1250,1293,11,35,1250,1316,11,35,1200,1251,11,35,1251,1251,11,35,1248,1252,11,35,1302,1332,11,35,1302,1302,11,35,1218,1252,11,35,1200,1251,11,35,1251,1269,11,35,1251,1252,11,35,1200,1251,11,35,1233,1251,11,35,1202,1251,11,35,1250,1250,11,35,1251,1251,11,35,1250,1250,11,35,1251,1252,11,35,1203,1252,11,35,1203,1252,11,35,1251,1252,11,35,1237,1251,11,35,1201,1251,11,35,1202,1266,11,35,1246,1251,11,35,1250,1262,11.0,35.0,1250.0,1253.0,11.0,35.0,1251.0,1252.0,11.0,35.0,1252.0,1261.0,11.0,34.0,1202.0,1214.0,11.0,35.0,1252.0,1252.0,11.0,35.0,1251.0,1251.0,11.0,35.0,1502.0,1502.0
9,#YGQYGCR,Portox😡,89828,89828,817,321,525332,False,33337,1034,2778,9,0,#29JYYU9G9,Blue Label,11,35,1249,1255,11,34,1202,1202,11,35,1250,1251,11,35,1251,1251,11,35,1251,1251,11,35,1249,1254,11,34,1217,1226,11,35,1251,1251,11,35,1249,1253,11,35,1202,1251,11,35,1251,1251,11,33,1155,1155,11,34,1201,1201,11,33,1167,1183,11,35,1251,1251,11,35,1249,1254,11,35,1250,1250,11,35,1249,1252,11,35,1249,1252,11,35,1203,1260,11,35,1251,1251,11,35,1249,1252,11,35,1249,1252,11,35,1251,1251,11,35,1249,1252,11,35,1249,1252,11,33,1153,1165,11,35,1249,1252,11,35,1251,1251,11,35,1251,1251,11,35,1249,1252,11,35,1251,1251,11,34,1153,1248,11,35,1250,1250,11,34,1195,1216,11,35,1249,1252,11,35,1251,1251,11,33,1171,1171,11,35,1251,1251,11,35,1249,1252,11,35,1250,1250,11,34,1203,1203,11,35,1203,1251,11,35,1250,1250,11,35,1249,1252,11,35,1251,1251,11,35,1249,1254,11,35,1249,1257,11,34,1203,1203,11,34,1206,1211,11,35,1249,1255,11,35,1250,1250,11,35,1251,1251,11,35,1250,1250,11,35,1250,1250,11,35,1251,1251,11,35,1251,1251,11,35,1251,1251,11,33,1157,1169,11,34,1203,1203,11,35,1251,1251,11,33,1156,1156,11,35,1252,1252,11,35,1252,1252,11,35,1249,1259,11,32,1125,1125,11.0,35.0,1252.0,1252.0,11.0,35.0,1250.0,1250.0,11.0,35.0,1250.0,1250.0,11.0,32.0,1114.0,1146.0,11.0,35.0,1251.0,1251.0,11.0,34.0,1228.0,1228.0,11.0,35.0,1255.0,1255.0
