,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1,1,Eclipse 🌖
1,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,98602,2,Eclipse 🌖
2,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,95059,3,Follow?
3,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,94538,4,Fenernazçe 💙💛
4,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,94027,5,help ranks
5,#VYGVV08Q,🍅domates,0xffffffff,28000261,93798,6,
6,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,93529,7,<c0>ＬＯＮＥＬＹ★</c>
7,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,90966,8,Showdown💔Kings
8,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,90807,9,CONEXIÓN
9,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,89828,10,Blue Label
10,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,89433,11,LA Instinct
11,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,89275,12,
12,#8R99PJ890,xSkylasz•,0xffff9727,28000321,88923,13,Vitality
13,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,88920,14,A Few Good Men
14,#P99QGPLU2,Davex,0xffffce89,28000129,88800,15,Brawl King's
15,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,87359,16,Deadly Vipers🐍
16,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,87329,17,
17,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,86996,18,Talents
18,#9VU9R2LY,Terry!,0xffffffff,28000081,86809,19,✌️✌️✌️
19,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,86702,20,Tribe Turkey
20,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,86333,21,OG Mute
21,#2CRRRRYJR,моё,0xfff9c908,28000213,85897,22,✌️✌️✌️
22,#QUYCVC2,STMN | sans,0xffa8e132,28000136,85735,23,STMN Esports
23,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,85714,24,No Mercy
24,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,85559,25,Ex0tic-E-Sport
25,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,85540,26,7 Dwarves
26,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,85421,27,My social media
27,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,85260,28,ハナクソタケシ
28,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,85136,29,めろんぱん食堂
29,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,85035,30,Quant ESports🐾
30,#29UGLJV2G,Lёvi,0xfff9c908,28000244,85033,31,✌️✌️✌️
31,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,84951,32,GOOD BYE TAHA
